event_source,event_id,event_name,event_type,expected_historical_cases,retrieved_case_count,retrieved_case_ids,raw_second_order_nodes,accepted_second_order_nodes,dropped_by_support_requirement,mapped_second_order_nodes,unmapped_accepted_second_order_nodes,second_order_assets,second_order_ranked_assets,historical_supported_second_order,sector_proxy_second_order,inference_only_second_order
evaluation_cases,eval_red_sea_shipping_disruption,eval_red_sea_shipping_disruption,maritime_security_disruption,case_2023_red_sea_attacks,3,case_2023_red_sea_attacks;case_2021_suez_blockage;case_2024_us_east_gulf_port_strike,4,1,3,1,0,2,2,2,0,0
evaluation_cases,eval_semiconductor_export_controls,eval_semiconductor_export_controls,technology_export_controls,case_2022_us_china_semiconductor_controls,3,case_2022_us_china_semiconductor_controls;case_2023_japan_chip_equipment_export_controls;case_2023_dutch_asml_controls,1,0,1,0,0,0,0,0,0,0
evaluation_cases,eval_russia_europe_gas_disruption,eval_russia_europe_gas_disruption,war_and_sanctions_energy_disruption,case_russia_ukraine_energy_shock,3,case_2009_russia_ukraine_gas_transit_dispute;case_russia_ukraine_energy_shock;case_2022_nord_stream_pipeline_sabotage,3,1,2,1,0,2,2,0,2,0
evaluation_cases,eval_natural_gas_fertilizer_shock,eval_natural_gas_fertilizer_shock,energy_and_agricultural_input_shock,case_2022_gas_fertilizer_shock,3,case_2022_gas_fertilizer_shock;case_2021_belarus_potash_sanctions;case_2022_russia_fertilizer_export_restrictions,4,3,1,3,0,6,6,0,6,0
evaluation_cases,eval_us_china_tariffs,eval_us_china_tariffs,trade_policy_and_tariffs,case_2018_2019_us_china_tariffs,3,case_2018_2019_us_china_tariffs;case_2024_ev_tariff_escalation_china;case_2021_xinjiang_forced_labor_import_restrictions,2,1,1,1,0,2,2,0,2,0
evaluation_cases,eval_middle_east_oil_infrastructure_attack,eval_middle_east_oil_infrastructure_attack,energy_infrastructure_disruption,case_middle_east_oil_supply_disruption,3,case_middle_east_oil_supply_disruption;case_2022_abu_dhabi_oil_facility_attack;case_opec_production_cut_policy_shock,1,0,1,0,0,0,0,0,0,0
evaluation_cases,eval_hormuz_tanker_tensions,eval_hormuz_tanker_tensions,geopolitical_risk_event,case_hormuz_tanker_tensions,3,case_hormuz_tanker_tensions;case_1987_1988_tanker_war_reflagging;case_israel_iran_escalation_energy_risk,9,0,9,0,0,0,0,0,0,0
evaluation_cases,eval_suez_canal_blockage,eval_suez_canal_blockage,shipping_chokepoint_disruption,case_2021_suez_blockage,3,case_2021_suez_blockage;case_2023_red_sea_attacks;case_2024_us_east_gulf_port_strike,6,0,6,0,0,0,0,0,0,0
evaluation_cases,eval_huawei_entity_list,eval_huawei_entity_list,technology_export_controls,case_2019_huawei_entity_list,3,case_2020_smic_entity_list_semiconductor_controls;case_2019_huawei_entity_list;case_2022_us_china_semiconductor_controls,1,1,0,1,0,2,2,0,2,0
evaluation_cases,eval_dutch_asml_export_controls,eval_dutch_asml_export_controls,technology_export_controls,case_2023_dutch_asml_controls,3,case_2023_dutch_asml_controls;case_2020_smic_entity_list_semiconductor_controls;case_2023_japan_chip_equipment_export_controls,1,1,0,1,0,2,2,0,2,0
