case_id,node,migration_status,canonical_context,constraint_type,upstream_driver,target_node_role,quality_check,notes
case_2023_dutch_asml_controls,customs,resolvable,tariff_customs_compliance_constraint,compliance_constraint,national_export_rules,compliance_channel,plausible_node_specific_context,Sampled priority-node context. Review checks frozen-vocabulary fit and whether context is node-specific rather than copied.
case_2019_huawei_entity_list,customs,resolvable,tariff_customs_compliance_constraint,compliance_constraint,entity_listing,compliance_channel,plausible_node_specific_context,Sampled priority-node context. Review checks frozen-vocabulary fit and whether context is node-specific rather than copied.
case_2018_2019_us_china_tariffs,customs,already_migrated,tariff_customs_compliance_constraint,compliance_constraint,tariff_classification_review,compliance_channel,plausible_node_specific_context,Sampled priority-node context. Review checks frozen-vocabulary fit and whether context is node-specific rather than copied.
case_china_gallium_germanium_graphite_controls,customs,resolvable,tariff_customs_compliance_constraint,compliance_constraint,export_licensing_rules,compliance_channel,plausible_node_specific_context,Sampled priority-node context. Review checks frozen-vocabulary fit and whether context is node-specific rather than copied.
case_uranium_nuclear_fuel_supply_disruption,customs,resolvable,tariff_customs_compliance_constraint,compliance_constraint,geopolitical_sanctions_risk,compliance_channel,plausible_node_specific_context,Sampled priority-node context. Review checks frozen-vocabulary fit and whether context is node-specific rather than copied.
case_2022_russia_swift_financial_sanctions,customs,resolvable,tariff_customs_compliance_constraint,compliance_constraint,sanctions_designation,compliance_channel,plausible_node_specific_context,Sampled priority-node context. Review checks frozen-vocabulary fit and whether context is node-specific rather than copied.
case_russia_ukraine_energy_shock,energy,already_migrated,energy_feedstock_constraint,input_shortage,gas_and_energy_feedstock_disruption,upstream_input,plausible_node_specific_context,Sampled priority-node context. Review checks frozen-vocabulary fit and whether context is node-specific rather than copied.
case_2022_gas_fertilizer_shock,energy,already_migrated,energy_feedstock_constraint,input_shortage,natural_gas_feedstock_shortage,upstream_input,plausible_node_specific_context,Sampled priority-node context. Review checks frozen-vocabulary fit and whether context is node-specific rather than copied.
case_uranium_nuclear_fuel_supply_disruption,energy,resolvable,energy_trade_access_constraint,trade_access_restriction,geopolitical_sanctions_risk,downstream_exposure,plausible_node_specific_context,Sampled priority-node context. Review checks frozen-vocabulary fit and whether context is node-specific rather than copied.
case_2022_russia_swift_financial_sanctions,energy,already_migrated,energy_trade_finance_constraint,financing_constraint,energy_trade_payment_disruption,downstream_exposure,plausible_node_specific_context,Sampled priority-node context. Review checks frozen-vocabulary fit and whether context is node-specific rather than copied.
case_2018_iran_oil_sanctions_reimposition,energy,resolvable,energy_trade_finance_constraint,financing_constraint,sanctions_reimposition,downstream_exposure,plausible_node_specific_context,Sampled priority-node context. Review checks frozen-vocabulary fit and whether context is node-specific rather than copied.
case_2019_venezuela_oil_sanctions,energy,already_migrated,energy_trade_access_constraint,trade_access_restriction,oil_export_sanctions,downstream_exposure,plausible_node_specific_context,Sampled priority-node context. Review checks frozen-vocabulary fit and whether context is node-specific rather than copied.
case_2021_suez_blockage,energy,ambiguous,,,,,unresolved_preserved,Existing frozen vocabulary and raw case fields do not support a precise node-level context.
case_hormuz_tanker_tensions,energy,ambiguous,,,,,unresolved_preserved,Existing frozen vocabulary and raw case fields do not support a precise node-level context.
case_middle_east_oil_supply_disruption,energy,ambiguous,,,,,unresolved_preserved,Existing frozen vocabulary and raw case fields do not support a precise node-level context.
case_2021_suez_blockage,freight_routes,resolvable,maritime_route_capacity_constraint,route_disruption,vessel_grounding,transmission_channel,plausible_node_specific_context,Sampled priority-node context. Review checks frozen-vocabulary fit and whether context is node-specific rather than copied.
case_2023_red_sea_attacks,freight_routes,resolvable,maritime_route_security_constraint,route_disruption,vessel_security_risk,transmission_channel,plausible_node_specific_context,Sampled priority-node context. Review checks frozen-vocabulary fit and whether context is node-specific rather than copied.
case_panama_canal_drought_shipping_capacity,freight_routes,resolvable,maritime_route_capacity_constraint,route_disruption,drought_conditions,transmission_channel,plausible_node_specific_context,Sampled priority-node context. Review checks frozen-vocabulary fit and whether context is node-specific rather than copied.
case_black_sea_grain_export_disruption,freight_routes,resolvable,maritime_route_security_constraint,route_disruption,military_conflict,transmission_channel,plausible_node_specific_context,Sampled priority-node context. Review checks frozen-vocabulary fit and whether context is node-specific rather than copied.
case_cyberattack_pipeline_port_infrastructure,freight_routes,resolvable,maritime_route_security_constraint,route_disruption,cyber_intrusion,transmission_channel,plausible_node_specific_context,Sampled priority-node context. Review checks frozen-vocabulary fit and whether context is node-specific rather than copied.
case_2023_port_of_nagoya_cyberattack,freight_routes,resolvable,maritime_route_security_constraint,route_disruption,ransomware_incident,transmission_channel,plausible_node_specific_context,Sampled priority-node context. Review checks frozen-vocabulary fit and whether context is node-specific rather than copied.
case_2021_suez_blockage,logistics,resolvable,maritime_route_capacity_constraint,route_disruption,vessel_grounding,transmission_channel,plausible_node_specific_context,Sampled priority-node context. Review checks frozen-vocabulary fit and whether context is node-specific rather than copied.
case_2023_red_sea_attacks,logistics,resolvable,maritime_route_security_constraint,route_disruption,vessel_security_risk,transmission_channel,plausible_node_specific_context,Sampled priority-node context. Review checks frozen-vocabulary fit and whether context is node-specific rather than copied.
case_2018_2019_us_china_tariffs,logistics,resolvable,maritime_route_security_constraint,route_disruption,tariff_announcements,transmission_channel,plausible_node_specific_context,Sampled priority-node context. Review checks frozen-vocabulary fit and whether context is node-specific rather than copied.
case_panama_canal_drought_shipping_capacity,logistics,resolvable,maritime_route_capacity_constraint,route_disruption,drought_conditions,transmission_channel,plausible_node_specific_context,Sampled priority-node context. Review checks frozen-vocabulary fit and whether context is node-specific rather than copied.
case_black_sea_grain_export_disruption,logistics,resolvable,maritime_route_security_constraint,route_disruption,military_conflict,transmission_channel,plausible_node_specific_context,Sampled priority-node context. Review checks frozen-vocabulary fit and whether context is node-specific rather than copied.
case_cyberattack_pipeline_port_infrastructure,logistics,resolvable,logistics_cyber_capacity_constraint,capacity_reduction,cyber_intrusion,transmission_channel,plausible_node_specific_context,Sampled priority-node context. Review checks frozen-vocabulary fit and whether context is node-specific rather than copied.
case_russia_ukraine_energy_shock,manufacturing_inputs,vocabulary_gap_candidate,,,,,unresolved_preserved,No frozen canonical_context precisely represents this node's mechanism.
case_2019_huawei_entity_list,manufacturing_inputs,vocabulary_gap_candidate,,,,,unresolved_preserved,No frozen canonical_context precisely represents this node's mechanism.
case_2018_2019_us_china_tariffs,manufacturing_inputs,vocabulary_gap_candidate,,,,,unresolved_preserved,No frozen canonical_context precisely represents this node's mechanism.
case_2018_2019_us_china_tariffs,trade_lanes,already_migrated,tariff_trade_compliance_constraint,trade_access_restriction,tariff_and_customs_review,compliance_channel,plausible_node_specific_context,Sampled priority-node context. Review checks frozen-vocabulary fit and whether context is node-specific rather than copied.
case_uranium_nuclear_fuel_supply_disruption,trade_lanes,resolvable,tariff_trade_compliance_constraint,trade_access_restriction,geopolitical_sanctions_risk,compliance_channel,plausible_node_specific_context,Sampled priority-node context. Review checks frozen-vocabulary fit and whether context is node-specific rather than copied.
case_2022_russia_swift_financial_sanctions,trade_lanes,resolvable,tariff_trade_compliance_constraint,trade_access_restriction,sanctions_designation,compliance_channel,plausible_node_specific_context,Sampled priority-node context. Review checks frozen-vocabulary fit and whether context is node-specific rather than copied.
