event_id,event_name,event_type,node,ticker,asset_name,evidence_level,supporting_case_count,supporting_case_ids,supporting_case_event_types,supporting_case_nodes,supporting_case_affected_assets,supporting_case_affected_asset_types,mapping_node,mapping_asset_type,linkage_tier,linkage_rationale,retrieval_ranks_of_supporting_cases,max_retrieval_rank_of_supporting_cases,node_specificity,node_specificity_reason,mechanism_consistency,mechanism_consistency_reason,mapping_quality,mapping_quality_reason,candidate_quality,candidate_quality_reason,noise_sources
hard_taiwan_semiconductor_indirect,hard_taiwan_semiconductor_indirect,technology_export_controls,aerospace_supply_chain,AIR.PA,Airbus SE,sector_proxy,2,case_2019_turkey_f35_s400_defense_restrictions;case_2023_middle_east_defense_supply_escalation,defense procurement restriction and aerospace supply-chain adjustment;defense supply-chain escalation,aerospace_supply_chain;ai_chips;customs;cyber_infrastructure;defense;manufacturing_inputs;semiconductor_equipment;trade_lanes,F-35 supplier network;Turkish aerospace components;defense electronics inputs;defense electronics supply chains;export-controlled manufacturing flows;missile defense systems;precision munitions;radar components;secure communications equipment,aerospace manufacturers;aerospace suppliers;component suppliers;cybersecurity providers;defense contractors;defense electronics firms;electronics suppliers;munitions producers;trade compliance providers,aerospace_supply_chain,Stock,related_exposure,"Aircraft manufacturing depends on aerospace supply chains, but supply-chain disruption is an input dependency rather than Airbus's primary revenue-generating activity.",8;10,10,potentially_broad,"All mapped assets are related_exposure, indicating meaningful but indirect node specificity.",consistent,Supporting cases show overlapping event mechanisms or affected asset-type vocabulary.,broad,Mapping is economically related but indirect/diversified according to asset_mapping metadata.,borderline,"Candidate has some ex-ante support, but at least one dimension is broad or mixed.",broad_node;broad_asset_mapping
hard_taiwan_semiconductor_indirect,hard_taiwan_semiconductor_indirect,technology_export_controls,aerospace_supply_chain,BA,Boeing Company,sector_proxy,2,case_2019_turkey_f35_s400_defense_restrictions;case_2023_middle_east_defense_supply_escalation,defense procurement restriction and aerospace supply-chain adjustment;defense supply-chain escalation,aerospace_supply_chain;ai_chips;customs;cyber_infrastructure;defense;manufacturing_inputs;semiconductor_equipment;trade_lanes,F-35 supplier network;Turkish aerospace components;defense electronics inputs;defense electronics supply chains;export-controlled manufacturing flows;missile defense systems;precision munitions;radar components;secure communications equipment,aerospace manufacturers;aerospace suppliers;component suppliers;cybersecurity providers;defense contractors;defense electronics firms;electronics suppliers;munitions producers;trade compliance providers,aerospace_supply_chain,Stock,related_exposure,"Aircraft manufacturing depends on aerospace supply chains, but supply-chain disruption is an input dependency rather than Boeing's primary revenue-generating activity.",8;10,10,potentially_broad,"All mapped assets are related_exposure, indicating meaningful but indirect node specificity.",consistent,Supporting cases show overlapping event mechanisms or affected asset-type vocabulary.,broad,Mapping is economically related but indirect/diversified according to asset_mapping metadata.,borderline,"Candidate has some ex-ante support, but at least one dimension is broad or mixed.",broad_node;broad_asset_mapping
eval_red_sea_shipping_disruption,eval_red_sea_shipping_disruption,maritime_security_disruption,agriculture,ADM,Archer-Daniels-Midland Company,sector_proxy,2,case_panama_canal_drought_shipping_capacity;case_2023_black_sea_shipping_insurance_restrictions,climate-related shipping chokepoint disruption;war-related maritime insurance and grain export disruption,agriculture;container_shipping;freight_routes;grain_exports;lng_shipping;logistics;marine_insurance;maritime_chokepoint;panama_canal,Black Sea shipping routes;LNG cargo routes;Panama Canal transit slots;US Gulf grain exports;Ukrainian grain exports;container shipping schedules;grain import supply chains;marine war-risk insurance,LNG cargoes;agricultural commodities;food producers;freight forwarders;grain exporters;grain traders;import-dependent supply chains;marine insurers;shipping companies,agriculture,Stock,related_exposure,"ADM materially participates in agriculture, but agriculture is a broad sector node spanning diversified processing, merchandising, and supply-chain operations.",6;8,8,potentially_broad,"Node label represents a broad function, sector, or channel in the current mapping vocabulary.",mixed,"Supporting cases share related node context, but event mechanisms are only partially aligned.",broad,Mapping is economically related but indirect/diversified according to asset_mapping metadata.,borderline,"Candidate has some ex-ante support, but at least one dimension is broad or mixed.",broad_node;broad_asset_mapping
eval_red_sea_shipping_disruption,eval_red_sea_shipping_disruption,maritime_security_disruption,agriculture,MOO,VanEck Agribusiness ETF,sector_proxy,2,case_panama_canal_drought_shipping_capacity;case_2023_black_sea_shipping_insurance_restrictions,climate-related shipping chokepoint disruption;war-related maritime insurance and grain export disruption,agriculture;container_shipping;freight_routes;grain_exports;lng_shipping;logistics;marine_insurance;maritime_chokepoint;panama_canal,Black Sea shipping routes;LNG cargo routes;Panama Canal transit slots;US Gulf grain exports;Ukrainian grain exports;container shipping schedules;grain import supply chains;marine war-risk insurance,LNG cargoes;agricultural commodities;food producers;freight forwarders;grain exporters;grain traders;import-dependent supply chains;marine insurers;shipping companies,agriculture,ETF,broad_proxy,"Ticker is an ETF, fund, or basket used as broad proxy exposure for the agriculture node: Basket exposure to agribusiness equipment inputs and food supply chains",6;8,8,potentially_broad,"Node label represents a broad function, sector, or channel in the current mapping vocabulary.",mixed,"Supporting cases share related node context, but event mechanisms are only partially aligned.",broad,Mapped ticker is a broad_proxy instrument or ETF/basket exposure.,borderline,"Candidate has some ex-ante support, but at least one dimension is broad or mixed.",broad_node;broad_asset_mapping
eval_us_china_tariffs,eval_us_china_tariffs,trade_policy_and_tariffs,ai_chips,AMD,Advanced Micro Devices Inc,sector_proxy,2,case_2019_huawei_entity_list;case_2023_japan_chip_equipment_export_controls,technology sanctions and trade restrictions;semiconductor equipment export control and customs licensing risk,ai_chips;customs;data_centers;eda_software;foundry;manufacturing_inputs;semiconductor_equipment,AI accelerator supply chains;Huawei supply chain;Japanese chipmaking tools;US chip suppliers;advanced foundry capacity;data center hardware procurement;mobile device software ecosystems;telecom carrier procurement plans,5G infrastructure;AI chip designers;consumer electronics;data center operators;electronics manufacturers;foundries;semiconductor equipment suppliers;semiconductor suppliers;software providers;telecom equipment vendors,ai_chips,Stock,related_exposure,"AMD participates in AI accelerators, but AI chips are one component of a diversified CPU, GPU, data-center, and client processor business.",8;10,10,specific,Node maps to operating-company/direct exposures in a concentrated asset vocabulary.,mixed,"Supporting cases share related node context, but event mechanisms are only partially aligned.",broad,Mapped ticker is related_exposure rather than direct exposure for an otherwise specific node.,borderline,"Candidate has some ex-ante support, but at least one dimension is broad or mixed.",broad_asset_mapping
eval_us_china_tariffs,eval_us_china_tariffs,trade_policy_and_tariffs,ai_chips,NVDA,NVIDIA Corporation,sector_proxy,2,case_2019_huawei_entity_list;case_2023_japan_chip_equipment_export_controls,technology sanctions and trade restrictions;semiconductor equipment export control and customs licensing risk,ai_chips;customs;data_centers;eda_software;foundry;manufacturing_inputs;semiconductor_equipment,AI accelerator supply chains;Huawei supply chain;Japanese chipmaking tools;US chip suppliers;advanced foundry capacity;data center hardware procurement;mobile device software ecosystems;telecom carrier procurement plans,5G infrastructure;AI chip designers;consumer electronics;data center operators;electronics manufacturers;foundries;semiconductor equipment suppliers;semiconductor suppliers;software providers;telecom equipment vendors,ai_chips,Stock,direct_exposure,Core operations or products are directly tied to the ai_chips node: Advanced accelerator and GPU supplier exposed to AI chip demand and export controls,8;10,10,specific,Node maps to operating-company/direct exposures in a concentrated asset vocabulary.,mixed,"Supporting cases share related node context, but event mechanisms are only partially aligned.",specific,Mapped ticker has direct_exposure metadata for a specific node.,borderline,"Candidate has some ex-ante support, but at least one dimension is broad or mixed.",
v3_20250404_china_rare_earth_export_controls,China imposes rare-earth export controls after U.S. tariff escalation,critical_minerals_export_controls,ai_chips,AMD,Advanced Micro Devices Inc,sector_proxy,2,case_china_gallium_germanium_graphite_controls;case_2019_huawei_entity_list,critical minerals export controls;technology sanctions and trade restrictions,ai_chips;critical_minerals;customs;data_centers;eda_software;gallium_germanium_graphite;manufacturing_inputs;semiconductor_equipment,Huawei supply chain;US chip suppliers;battery material supply chains;compound semiconductor inputs;gallium and germanium supply;graphite anode materials;mobile device software ecosystems;telecom carrier procurement plans,5G infrastructure;EV supply chains;battery manufacturers;consumer electronics;critical mineral processors;semiconductor suppliers;software providers;solar equipment producers;telecom equipment vendors,ai_chips,Stock,related_exposure,"AMD participates in AI accelerators, but AI chips are one component of a diversified CPU, GPU, data-center, and client processor business.",3;10,10,specific,Node maps to operating-company/direct exposures in a concentrated asset vocabulary.,mixed,"Supporting cases share related node context, but event mechanisms are only partially aligned.",broad,Mapped ticker is related_exposure rather than direct exposure for an otherwise specific node.,borderline,"Candidate has some ex-ante support, but at least one dimension is broad or mixed.",broad_asset_mapping
v3_20250404_china_rare_earth_export_controls,China imposes rare-earth export controls after U.S. tariff escalation,critical_minerals_export_controls,ai_chips,NVDA,NVIDIA Corporation,sector_proxy,2,case_china_gallium_germanium_graphite_controls;case_2019_huawei_entity_list,critical minerals export controls;technology sanctions and trade restrictions,ai_chips;critical_minerals;customs;data_centers;eda_software;gallium_germanium_graphite;manufacturing_inputs;semiconductor_equipment,Huawei supply chain;US chip suppliers;battery material supply chains;compound semiconductor inputs;gallium and germanium supply;graphite anode materials;mobile device software ecosystems;telecom carrier procurement plans,5G infrastructure;EV supply chains;battery manufacturers;consumer electronics;critical mineral processors;semiconductor suppliers;software providers;solar equipment producers;telecom equipment vendors,ai_chips,Stock,direct_exposure,Core operations or products are directly tied to the ai_chips node: Advanced accelerator and GPU supplier exposed to AI chip demand and export controls,3;10,10,specific,Node maps to operating-company/direct exposures in a concentrated asset vocabulary.,mixed,"Supporting cases share related node context, but event mechanisms are only partially aligned.",specific,Mapped ticker has direct_exposure metadata for a specific node.,borderline,"Candidate has some ex-ante support, but at least one dimension is broad or mixed.",
v3_20250730_copper_tariffs,U.S. imposes Section 232 tariffs on copper products,critical_minerals_export_controls,ai_chips,AMD,Advanced Micro Devices Inc,sector_proxy,2,case_china_gallium_germanium_graphite_controls;case_2019_huawei_entity_list,critical minerals export controls;technology sanctions and trade restrictions,ai_chips;critical_minerals;customs;data_centers;eda_software;gallium_germanium_graphite;manufacturing_inputs;semiconductor_equipment,Huawei supply chain;US chip suppliers;battery material supply chains;compound semiconductor inputs;gallium and germanium supply;graphite anode materials;mobile device software ecosystems;telecom carrier procurement plans,5G infrastructure;EV supply chains;battery manufacturers;consumer electronics;critical mineral processors;semiconductor suppliers;software providers;solar equipment producers;telecom equipment vendors,ai_chips,Stock,related_exposure,"AMD participates in AI accelerators, but AI chips are one component of a diversified CPU, GPU, data-center, and client processor business.",8;10,10,specific,Node maps to operating-company/direct exposures in a concentrated asset vocabulary.,mixed,"Supporting cases share related node context, but event mechanisms are only partially aligned.",broad,Mapped ticker is related_exposure rather than direct exposure for an otherwise specific node.,borderline,"Candidate has some ex-ante support, but at least one dimension is broad or mixed.",broad_asset_mapping
v3_20250730_copper_tariffs,U.S. imposes Section 232 tariffs on copper products,critical_minerals_export_controls,ai_chips,NVDA,NVIDIA Corporation,sector_proxy,2,case_china_gallium_germanium_graphite_controls;case_2019_huawei_entity_list,critical minerals export controls;technology sanctions and trade restrictions,ai_chips;critical_minerals;customs;data_centers;eda_software;gallium_germanium_graphite;manufacturing_inputs;semiconductor_equipment,Huawei supply chain;US chip suppliers;battery material supply chains;compound semiconductor inputs;gallium and germanium supply;graphite anode materials;mobile device software ecosystems;telecom carrier procurement plans,5G infrastructure;EV supply chains;battery manufacturers;consumer electronics;critical mineral processors;semiconductor suppliers;software providers;solar equipment producers;telecom equipment vendors,ai_chips,Stock,direct_exposure,Core operations or products are directly tied to the ai_chips node: Advanced accelerator and GPU supplier exposed to AI chip demand and export controls,8;10,10,specific,Node maps to operating-company/direct exposures in a concentrated asset vocabulary.,mixed,"Supporting cases share related node context, but event mechanisms are only partially aligned.",specific,Mapped ticker has direct_exposure metadata for a specific node.,borderline,"Candidate has some ex-ante support, but at least one dimension is broad or mixed.",
eval_russia_europe_gas_disruption,eval_russia_europe_gas_disruption,war_and_sanctions_energy_disruption,aviation,DAL,Delta Air Lines Inc,sector_proxy,2,case_2024_ukraine_drone_attacks_russian_refineries;case_middle_east_oil_supply_disruption,wartime refinery disruption and refined-product supply risk;energy infrastructure disruption,aviation;energy;oil_shipping;petrochemicals;pipeline_infrastructure;refining,Russian refinery capacity;Saudi crude exports;diesel and gasoline export flows;global crude benchmarks;jet fuel supply chains;petrochemical feedstocks;petrochemical inputs;refinery feedstocks,airlines;crude oil;energy producers;petrochemical companies;petrochemical producers;refiners;tanker operators,aviation,Stock,direct_exposure,Core operations or products are directly tied to the aviation node: Airline exposed to jet fuel and international travel disruption risks,6;7,7,potentially_broad,"Node label represents a broad function, sector, or channel in the current mapping vocabulary.",consistent,Supporting cases show overlapping event mechanisms or affected asset-type vocabulary.,specific,"Mapped ticker is direct_exposure, though the node itself may be broad.",borderline,"Candidate has some ex-ante support, but at least one dimension is broad or mixed.",broad_node
eval_russia_europe_gas_disruption,eval_russia_europe_gas_disruption,war_and_sanctions_energy_disruption,aviation,JETS,U S Global Jets ETF,sector_proxy,2,case_2024_ukraine_drone_attacks_russian_refineries;case_middle_east_oil_supply_disruption,wartime refinery disruption and refined-product supply risk;energy infrastructure disruption,aviation;energy;oil_shipping;petrochemicals;pipeline_infrastructure;refining,Russian refinery capacity;Saudi crude exports;diesel and gasoline export flows;global crude benchmarks;jet fuel supply chains;petrochemical feedstocks;petrochemical inputs;refinery feedstocks,airlines;crude oil;energy producers;petrochemical companies;petrochemical producers;refiners;tanker operators,aviation,ETF,broad_proxy,"Ticker is an ETF, fund, or basket used as broad proxy exposure for the aviation node: Airline ETF exposed to fuel costs travel demand and route disruptions",6;7,7,potentially_broad,"Node label represents a broad function, sector, or channel in the current mapping vocabulary.",consistent,Supporting cases show overlapping event mechanisms or affected asset-type vocabulary.,broad,Mapped ticker is a broad_proxy instrument or ETF/basket exposure.,borderline,"Candidate has some ex-ante support, but at least one dimension is broad or mixed.",broad_node;broad_asset_mapping
hard_hormuz_ambiguous_energy_shipping,hard_hormuz_ambiguous_energy_shipping,war_and_sanctions_energy_disruption,aviation,DAL,Delta Air Lines Inc,sector_proxy,3,case_middle_east_oil_supply_disruption;case_opec_production_cut_policy_shock;case_2022_abu_dhabi_oil_facility_attack,energy infrastructure disruption;oil supply policy shock;energy infrastructure disruption,aviation;defense;energy;oil_shipping;petrochemicals;refining,Saudi crude exports;UAE energy infrastructure;air defense systems;global crude benchmarks;jet fuel supply chains;petrochemical inputs;refinery feedstocks;regional crude exports;tanker routes;transport fuel costs,airlines;crude oil;defense contractors;energy producers;petrochemical producers;refiners;tanker operators;transportation companies,aviation,Stock,direct_exposure,Core operations or products are directly tied to the aviation node: Airline exposed to jet fuel and international travel disruption risks,6;7;8,8,potentially_broad,"Node label represents a broad function, sector, or channel in the current mapping vocabulary.",consistent,Supporting cases show overlapping event mechanisms or affected asset-type vocabulary.,specific,"Mapped ticker is direct_exposure, though the node itself may be broad.",borderline,"Candidate has some ex-ante support, but at least one dimension is broad or mixed.",broad_node
hard_hormuz_ambiguous_energy_shipping,hard_hormuz_ambiguous_energy_shipping,war_and_sanctions_energy_disruption,aviation,JETS,U S Global Jets ETF,sector_proxy,3,case_middle_east_oil_supply_disruption;case_opec_production_cut_policy_shock;case_2022_abu_dhabi_oil_facility_attack,energy infrastructure disruption;oil supply policy shock;energy infrastructure disruption,aviation;defense;energy;oil_shipping;petrochemicals;refining,Saudi crude exports;UAE energy infrastructure;air defense systems;global crude benchmarks;jet fuel supply chains;petrochemical inputs;refinery feedstocks;regional crude exports;tanker routes;transport fuel costs,airlines;crude oil;defense contractors;energy producers;petrochemical producers;refiners;tanker operators;transportation companies,aviation,ETF,broad_proxy,"Ticker is an ETF, fund, or basket used as broad proxy exposure for the aviation node: Airline ETF exposed to fuel costs travel demand and route disruptions",6;7;8,8,potentially_broad,"Node label represents a broad function, sector, or channel in the current mapping vocabulary.",consistent,Supporting cases show overlapping event mechanisms or affected asset-type vocabulary.,broad,Mapped ticker is a broad_proxy instrument or ETF/basket exposure.,borderline,"Candidate has some ex-ante support, but at least one dimension is broad or mixed.",broad_node;broad_asset_mapping
