source,event_id,node,audit_label,raw_voting_result,rule6_result,structured_context_result,raw_support_count,compatible_support_count,incompatible_support_count,insufficient_context_count,supporting_case_ids,compatible_case_ids,incompatible_case_ids,insufficient_context_case_ids,candidate_under_raw_rule,candidate_under_structured_rule,structured_correct,case_decisions_json
rule6_error,eval_defense_supply_chain_escalation,aviation,weak_cooccurrence,keep,keep,reject,3,0,3,0,case_2017_north_korea_missile_escalation;case_2019_india_pakistan_airspace_closure;case_2011_libya_civil_war_oil_disruption,,case_2011_libya_civil_war_oil_disruption;case_2017_north_korea_missile_escalation;case_2019_india_pakistan_airspace_closure,,True,False,True,"[{""case_id"": ""case_2017_north_korea_missile_escalation"", ""reason"": ""current node is contextual background, not a support target"", ""status"": ""incompatible""}, {""case_id"": ""case_2019_india_pakistan_airspace_closure"", ""reason"": ""current node is contextual background, not a support target"", ""status"": ""incompatible""}, {""case_id"": ""case_2011_libya_civil_war_oil_disruption"", ""reason"": ""current node is contextual background, not a support target"", ""status"": ""incompatible""}]"
rule6_error,eval_dutch_asml_export_controls,critical_minerals,mixed,keep,reject,keep,3,3,0,0,case_2010_china_japan_rare_earth_embargo;case_2021_xinjiang_forced_labor_import_restrictions;case_china_gallium_germanium_graphite_controls,case_2010_china_japan_rare_earth_embargo;case_2021_xinjiang_forced_labor_import_restrictions;case_china_gallium_germanium_graphite_controls,,,True,True,True,"[{""case_id"": ""case_2010_china_japan_rare_earth_embargo"", ""reason"": ""same canonical transmission context"", ""status"": ""compatible""}, {""case_id"": ""case_2021_xinjiang_forced_labor_import_restrictions"", ""reason"": ""same canonical transmission-context family"", ""status"": ""compatible""}, {""case_id"": ""case_china_gallium_germanium_graphite_controls"", ""reason"": ""same canonical transmission context"", ""status"": ""compatible""}]"
rule6_error,eval_huawei_entity_list,critical_minerals,mixed,keep,reject,keep,2,2,0,0,case_2021_xinjiang_forced_labor_import_restrictions;case_2010_china_japan_rare_earth_embargo,case_2010_china_japan_rare_earth_embargo;case_2021_xinjiang_forced_labor_import_restrictions,,,True,True,True,"[{""case_id"": ""case_2021_xinjiang_forced_labor_import_restrictions"", ""reason"": ""same canonical transmission-context family"", ""status"": ""compatible""}, {""case_id"": ""case_2010_china_japan_rare_earth_embargo"", ""reason"": ""same canonical transmission context"", ""status"": ""compatible""}]"
rule6_error,eval_huawei_entity_list,defense,weak_cooccurrence,keep,keep,reject,4,0,4,0,case_2024_taiwan_strait_drills_semiconductor_supply;case_2010_china_japan_rare_earth_embargo;case_taiwan_strait_semiconductor_risk;case_2019_turkey_f35_s400_defense_restrictions,,case_2010_china_japan_rare_earth_embargo;case_2019_turkey_f35_s400_defense_restrictions;case_2024_taiwan_strait_drills_semiconductor_supply;case_taiwan_strait_semiconductor_risk,,True,False,True,"[{""case_id"": ""case_2024_taiwan_strait_drills_semiconductor_supply"", ""reason"": ""supporting node is contextual background, not a mechanism vote"", ""status"": ""incompatible""}, {""case_id"": ""case_2010_china_japan_rare_earth_embargo"", ""reason"": ""current node is contextual background, not a support target"", ""status"": ""incompatible""}, {""case_id"": ""case_taiwan_strait_semiconductor_risk"", ""reason"": ""supporting node is contextual background, not a mechanism vote"", ""status"": ""incompatible""}, {""case_id"": ""case_2019_turkey_f35_s400_defense_restrictions"", ""reason"": ""current node is contextual background, not a support target"", ""status"": ""incompatible""}]"
rule6_error,eval_middle_east_oil_infrastructure_attack,logistics,weak_cooccurrence,keep,keep,reject,2,1,1,0,case_2011_libya_civil_war_oil_disruption;case_1987_1988_tanker_war_reflagging,case_2011_libya_civil_war_oil_disruption,case_1987_1988_tanker_war_reflagging,,True,False,True,"[{""case_id"": ""case_2011_libya_civil_war_oil_disruption"", ""reason"": ""same canonical transmission context"", ""status"": ""compatible""}, {""case_id"": ""case_1987_1988_tanker_war_reflagging"", ""reason"": ""canonical context, role, and constraint do not match"", ""status"": ""incompatible""}]"
rule6_error,eval_semiconductor_export_controls,critical_minerals,mixed,keep,reject,keep,2,2,0,0,case_2010_china_japan_rare_earth_embargo;case_china_gallium_germanium_graphite_controls,case_2010_china_japan_rare_earth_embargo;case_china_gallium_germanium_graphite_controls,,,True,True,True,"[{""case_id"": ""case_2010_china_japan_rare_earth_embargo"", ""reason"": ""same canonical transmission context"", ""status"": ""compatible""}, {""case_id"": ""case_china_gallium_germanium_graphite_controls"", ""reason"": ""same canonical transmission context"", ""status"": ""compatible""}]"
rule6_error,eval_semiconductor_export_controls,defense,weak_cooccurrence,keep,keep,reject,4,0,4,0,case_2024_taiwan_strait_drills_semiconductor_supply;case_2010_china_japan_rare_earth_embargo;case_taiwan_strait_semiconductor_risk;case_2019_turkey_f35_s400_defense_restrictions,,case_2010_china_japan_rare_earth_embargo;case_2019_turkey_f35_s400_defense_restrictions;case_2024_taiwan_strait_drills_semiconductor_supply;case_taiwan_strait_semiconductor_risk,,True,False,True,"[{""case_id"": ""case_2024_taiwan_strait_drills_semiconductor_supply"", ""reason"": ""supporting node is contextual background, not a mechanism vote"", ""status"": ""incompatible""}, {""case_id"": ""case_2010_china_japan_rare_earth_embargo"", ""reason"": ""current node is contextual background, not a support target"", ""status"": ""incompatible""}, {""case_id"": ""case_taiwan_strait_semiconductor_risk"", ""reason"": ""supporting node is contextual background, not a mechanism vote"", ""status"": ""incompatible""}, {""case_id"": ""case_2019_turkey_f35_s400_defense_restrictions"", ""reason"": ""current node is contextual background, not a support target"", ""status"": ""incompatible""}]"
rule6_error,eval_uranium_nuclear_fuel_disruption,marine_insurance,weak_cooccurrence,keep,keep,reject,4,0,4,0,case_2023_arctic_lng_russian_energy_shipping_sanctions;case_israel_iran_escalation_energy_risk;case_2023_red_sea_attacks;case_hormuz_tanker_tensions,,case_2023_arctic_lng_russian_energy_shipping_sanctions;case_2023_red_sea_attacks;case_hormuz_tanker_tensions;case_israel_iran_escalation_energy_risk,,True,False,True,"[{""case_id"": ""case_2023_arctic_lng_russian_energy_shipping_sanctions"", ""reason"": ""current node is contextual background, not a support target"", ""status"": ""incompatible""}, {""case_id"": ""case_israel_iran_escalation_energy_risk"", ""reason"": ""current node is contextual background, not a support target"", ""status"": ""incompatible""}, {""case_id"": ""case_2023_red_sea_attacks"", ""reason"": ""current node is contextual background, not a support target"", ""status"": ""incompatible""}, {""case_id"": ""case_hormuz_tanker_tensions"", ""reason"": ""current node is contextual background, not a support target"", ""status"": ""incompatible""}]"
rule6_error,eval_uranium_nuclear_fuel_disruption,maritime_chokepoint,weak_cooccurrence,keep,keep,reject,4,0,4,0,case_2023_arctic_lng_russian_energy_shipping_sanctions;case_israel_iran_escalation_energy_risk;case_2023_red_sea_attacks;case_hormuz_tanker_tensions,,case_2023_arctic_lng_russian_energy_shipping_sanctions;case_2023_red_sea_attacks;case_hormuz_tanker_tensions;case_israel_iran_escalation_energy_risk,,True,False,True,"[{""case_id"": ""case_2023_arctic_lng_russian_energy_shipping_sanctions"", ""reason"": ""current node is contextual background, not a support target"", ""status"": ""incompatible""}, {""case_id"": ""case_israel_iran_escalation_energy_risk"", ""reason"": ""current node is contextual background, not a support target"", ""status"": ""incompatible""}, {""case_id"": ""case_2023_red_sea_attacks"", ""reason"": ""current node is contextual background, not a support target"", ""status"": ""incompatible""}, {""case_id"": ""case_hormuz_tanker_tensions"", ""reason"": ""current node is contextual background, not a support target"", ""status"": ""incompatible""}]"
rule6_error,hard_semiconductor_controls_paraphrased,critical_minerals,mixed,keep,reject,keep,3,3,0,0,case_2021_xinjiang_forced_labor_import_restrictions;case_2010_china_japan_rare_earth_embargo;case_2024_ev_tariff_escalation_china,case_2010_china_japan_rare_earth_embargo;case_2021_xinjiang_forced_labor_import_restrictions;case_2024_ev_tariff_escalation_china,,,True,True,True,"[{""case_id"": ""case_2021_xinjiang_forced_labor_import_restrictions"", ""reason"": ""same canonical transmission-context family"", ""status"": ""compatible""}, {""case_id"": ""case_2010_china_japan_rare_earth_embargo"", ""reason"": ""same canonical transmission context"", ""status"": ""compatible""}, {""case_id"": ""case_2024_ev_tariff_escalation_china"", ""reason"": ""same canonical transmission-context family"", ""status"": ""compatible""}]"
