event_id,event_name,event_type,node,ticker,asset_name,evidence_level,supporting_case_count,supporting_case_ids,supporting_case_event_types,supporting_case_nodes,supporting_case_affected_assets,supporting_case_affected_asset_types,mapping_node,mapping_asset_type,linkage_tier,linkage_rationale,retrieval_ranks_of_supporting_cases,max_retrieval_rank_of_supporting_cases,node_specificity,node_specificity_reason,mechanism_consistency,mechanism_consistency_reason,mapping_quality,mapping_quality_reason,candidate_quality,candidate_quality_reason,noise_sources
eval_black_sea_grain_export_disruption,eval_black_sea_grain_export_disruption,grain_export_disruption,energy,XLE,Energy Select Sector SPDR Fund,sector_proxy,2,case_2021_suez_blockage;case_2022_russia_fertilizer_export_restrictions,shipping chokepoint disruption;fertilizer export restriction and agricultural input shock,agriculture;container_shipping;customs;energy;fertilizer;freight_routes;logistics;maritime_chokepoint;ports;trade_lanes,Brazil crop input supply;European and Asian importers;agricultural logistics;container shipping operators;food production input costs;freight forwarders;nitrogen and potash fertilizer flows;oil and LNG cargo flows,agribusiness firms;energy cargoes;fertilizer producers;food producers;grain traders;logistics companies;logistics providers;port operators;retail supply chains;shipping equities,energy,ETF,broad_proxy,"Ticker is an ETF, fund, or basket used as broad proxy exposure for the energy node: Broad ETF exposure to US energy companies",6;9,9,potentially_broad,"Node label represents a broad function, sector, or channel in the current mapping vocabulary.",weak_cooccurrence,Supporting cases share a broad node but have low event-type and affected-asset-type overlap.,broad,Mapped ticker is a broad_proxy instrument or ETF/basket exposure.,likely_noise,Weak cross-case mechanism support combined with broad node or broad/questionable mapping.,broad_node;weak_supporting_case_consistency;broad_asset_mapping
eval_black_sea_grain_export_disruption,eval_black_sea_grain_export_disruption,grain_export_disruption,energy,XOM,Exxon Mobil Corporation,sector_proxy,2,case_2021_suez_blockage;case_2022_russia_fertilizer_export_restrictions,shipping chokepoint disruption;fertilizer export restriction and agricultural input shock,agriculture;container_shipping;customs;energy;fertilizer;freight_routes;logistics;maritime_chokepoint;ports;trade_lanes,Brazil crop input supply;European and Asian importers;agricultural logistics;container shipping operators;food production input costs;freight forwarders;nitrogen and potash fertilizer flows;oil and LNG cargo flows,agribusiness firms;energy cargoes;fertilizer producers;food producers;grain traders;logistics companies;logistics providers;port operators;retail supply chains;shipping equities,energy,Stock,related_exposure,Business has meaningful but diversified or indirect economic linkage to the energy node: Integrated energy producer with upstream and downstream exposure,6;9,9,potentially_broad,"Node label represents a broad function, sector, or channel in the current mapping vocabulary.",weak_cooccurrence,Supporting cases share a broad node but have low event-type and affected-asset-type overlap.,broad,Mapping is economically related but indirect/diversified according to asset_mapping metadata.,likely_noise,Weak cross-case mechanism support combined with broad node or broad/questionable mapping.,broad_node;weak_supporting_case_consistency;broad_asset_mapping
eval_cyber_port_pipeline_disruption,eval_cyber_port_pipeline_disruption,cyber_infrastructure_disruption,trade_lanes,DHL.DE,DHL Group,sector_proxy,2,case_2023_dp_world_australia_cyber_port_disruption;case_2009_russia_ukraine_gas_transit_dispute,cyberattack on port logistics infrastructure;pipeline gas transit disruption and energy security shock,container_shipping;cyber_infrastructure;energy;freight_routes;lng_shipping;logistics;manufacturing_inputs;petrochemicals;pipeline_infrastructure;ports;trade_lanes,Asia-Pacific freight routes;Australian container terminals;European gas storage;LNG procurement options;Ukraine gas transit routes;energy-intensive manufacturing;port operating systems;retail import logistics,LNG suppliers;chemical producers;container shipping companies;cybersecurity providers;freight forwarders;gas utilities;industrial manufacturers;pipeline operators;port operators;retailers,trade_lanes,Stock,related_exposure,"Global logistics operations participate in trade lanes, but trade_lanes is a broad cross-border flow condition rather than a specific core node business.",4;9,9,potentially_broad,"Node label represents a broad function, sector, or channel in the current mapping vocabulary.",weak_cooccurrence,Supporting cases share a broad node but have low event-type and affected-asset-type overlap.,broad,Mapping is economically related but indirect/diversified according to asset_mapping metadata.,likely_noise,Weak cross-case mechanism support combined with broad node or broad/questionable mapping.,broad_node;weak_supporting_case_consistency;broad_asset_mapping
eval_cyber_port_pipeline_disruption,eval_cyber_port_pipeline_disruption,cyber_infrastructure_disruption,trade_lanes,EXPD,Expeditors International of Washington Inc,sector_proxy,2,case_2023_dp_world_australia_cyber_port_disruption;case_2009_russia_ukraine_gas_transit_dispute,cyberattack on port logistics infrastructure;pipeline gas transit disruption and energy security shock,container_shipping;cyber_infrastructure;energy;freight_routes;lng_shipping;logistics;manufacturing_inputs;petrochemicals;pipeline_infrastructure;ports;trade_lanes,Asia-Pacific freight routes;Australian container terminals;European gas storage;LNG procurement options;Ukraine gas transit routes;energy-intensive manufacturing;port operating systems;retail import logistics,LNG suppliers;chemical producers;container shipping companies;cybersecurity providers;freight forwarders;gas utilities;industrial manufacturers;pipeline operators;port operators;retailers,trade_lanes,Stock,related_exposure,"Freight forwarding participates in global trade-lane activity, but trade_lanes is a broad route and flow condition across diversified logistics services.",4;9,9,potentially_broad,"Node label represents a broad function, sector, or channel in the current mapping vocabulary.",weak_cooccurrence,Supporting cases share a broad node but have low event-type and affected-asset-type overlap.,broad,Mapping is economically related but indirect/diversified according to asset_mapping metadata.,likely_noise,Weak cross-case mechanism support combined with broad node or broad/questionable mapping.,broad_node;weak_supporting_case_consistency;broad_asset_mapping
eval_defense_supply_chain_escalation,eval_defense_supply_chain_escalation,defense_spending_shock,energy,XLE,Energy Select Sector SPDR Fund,sector_proxy,3,case_2022_ukraine_electricity_grid_attacks;case_israel_iran_escalation_energy_risk;case_2011_libya_civil_war_oil_disruption,wartime electricity grid attack and infrastructure disruption;regional military escalation and energy chokepoint risk;civil conflict and oil infrastructure supply disruption,aviation;cyber_infrastructure;defense;energy;lng_shipping;logistics;manufacturing_inputs;marine_insurance;maritime_chokepoint;oil_shipping;petrochemicals;pipeline_infrastructure;refining;trade_lanes,LNG cargo flows;Libyan crude exports;Mediterranean refinery feedstocks;Persian Gulf crude exports;Ukrainian electricity grid;grid repair equipment;industrial power supply;jet fuel exposure;marine insurance premiums;petrochemical inputs;regional defense demand;regional emergency energy logistics;tanker routes,LNG;airlines;crude oil;defense contractors;energy producers;grid equipment suppliers;logistics providers;manufacturers;marine insurers;petrochemical producers;refiners;shipping companies;tanker operators;utilities,energy,ETF,broad_proxy,"Ticker is an ETF, fund, or basket used as broad proxy exposure for the energy node: Broad ETF exposure to US energy companies",4;9;10,10,potentially_broad,"Node label represents a broad function, sector, or channel in the current mapping vocabulary.",weak_cooccurrence,Supporting cases share a broad node but have low event-type and affected-asset-type overlap.,broad,Mapped ticker is a broad_proxy instrument or ETF/basket exposure.,likely_noise,Weak cross-case mechanism support combined with broad node or broad/questionable mapping.,broad_node;weak_supporting_case_consistency;broad_asset_mapping
eval_defense_supply_chain_escalation,eval_defense_supply_chain_escalation,defense_spending_shock,energy,XOM,Exxon Mobil Corporation,sector_proxy,3,case_2022_ukraine_electricity_grid_attacks;case_israel_iran_escalation_energy_risk;case_2011_libya_civil_war_oil_disruption,wartime electricity grid attack and infrastructure disruption;regional military escalation and energy chokepoint risk;civil conflict and oil infrastructure supply disruption,aviation;cyber_infrastructure;defense;energy;lng_shipping;logistics;manufacturing_inputs;marine_insurance;maritime_chokepoint;oil_shipping;petrochemicals;pipeline_infrastructure;refining;trade_lanes,LNG cargo flows;Libyan crude exports;Mediterranean refinery feedstocks;Persian Gulf crude exports;Ukrainian electricity grid;grid repair equipment;industrial power supply;jet fuel exposure;marine insurance premiums;petrochemical inputs;regional defense demand;regional emergency energy logistics;tanker routes,LNG;airlines;crude oil;defense contractors;energy producers;grid equipment suppliers;logistics providers;manufacturers;marine insurers;petrochemical producers;refiners;shipping companies;tanker operators;utilities,energy,Stock,related_exposure,Business has meaningful but diversified or indirect economic linkage to the energy node: Integrated energy producer with upstream and downstream exposure,4;9;10,10,potentially_broad,"Node label represents a broad function, sector, or channel in the current mapping vocabulary.",weak_cooccurrence,Supporting cases share a broad node but have low event-type and affected-asset-type overlap.,broad,Mapping is economically related but indirect/diversified according to asset_mapping metadata.,likely_noise,Weak cross-case mechanism support combined with broad node or broad/questionable mapping.,broad_node;weak_supporting_case_consistency;broad_asset_mapping
eval_defense_supply_chain_escalation,eval_defense_supply_chain_escalation,defense_spending_shock,freight_routes,FDX,FedEx Corporation,sector_proxy,2,case_black_sea_grain_export_disruption;case_2019_india_pakistan_airspace_closure,war-related agricultural export disruption;border military escalation and airspace disruption,agriculture;aviation;defense;fertilizer;freight_routes;grain_exports;logistics;manufacturing_inputs;maritime_chokepoint;trade_lanes,Black Sea wheat exports;Europe-Asia long-haul flights;South Asia air routes;air cargo schedules;corn export flows;food manufacturing inputs;grain shipping corridors;regional defense procurement,agricultural commodities;air cargo operators;airlines;defense contractors;fertilizer producers;food producers;freight forwarders;grain traders;manufacturers;shipping companies,freight_routes,Stock,related_exposure,"Parcel and freight networks are materially affected by freight-route disruption, but freight routes are a broad network condition rather than a specific primary revenue activity.",7;8,8,potentially_broad,"Node label represents a broad function, sector, or channel in the current mapping vocabulary.",weak_cooccurrence,Supporting cases share a broad node but have low event-type and affected-asset-type overlap.,broad,Mapping is economically related but indirect/diversified according to asset_mapping metadata.,likely_noise,Weak cross-case mechanism support combined with broad node or broad/questionable mapping.,broad_node;weak_supporting_case_consistency;broad_asset_mapping
eval_defense_supply_chain_escalation,eval_defense_supply_chain_escalation,defense_spending_shock,freight_routes,UPS,United Parcel Service Inc,sector_proxy,2,case_black_sea_grain_export_disruption;case_2019_india_pakistan_airspace_closure,war-related agricultural export disruption;border military escalation and airspace disruption,agriculture;aviation;defense;fertilizer;freight_routes;grain_exports;logistics;manufacturing_inputs;maritime_chokepoint;trade_lanes,Black Sea wheat exports;Europe-Asia long-haul flights;South Asia air routes;air cargo schedules;corn export flows;food manufacturing inputs;grain shipping corridors;regional defense procurement,agricultural commodities;air cargo operators;airlines;defense contractors;fertilizer producers;food producers;freight forwarders;grain traders;manufacturers;shipping companies,freight_routes,Stock,related_exposure,"Parcel and freight networks are materially affected by freight-route disruption, but freight routes are a broad cross-modal operating condition rather than a specific core business activity.",7;8,8,potentially_broad,"Node label represents a broad function, sector, or channel in the current mapping vocabulary.",weak_cooccurrence,Supporting cases share a broad node but have low event-type and affected-asset-type overlap.,broad,Mapping is economically related but indirect/diversified according to asset_mapping metadata.,likely_noise,Weak cross-case mechanism support combined with broad node or broad/questionable mapping.,broad_node;weak_supporting_case_consistency;broad_asset_mapping
eval_defense_supply_chain_escalation,eval_defense_supply_chain_escalation,defense_spending_shock,maritime_chokepoint,BOAT,SonicShares Global Shipping ETF,sector_proxy,2,case_black_sea_grain_export_disruption;case_israel_iran_escalation_energy_risk,war-related agricultural export disruption;regional military escalation and energy chokepoint risk,agriculture;defense;energy;fertilizer;freight_routes;grain_exports;lng_shipping;logistics;marine_insurance;maritime_chokepoint;oil_shipping;refining,Black Sea wheat exports;LNG cargo flows;Persian Gulf crude exports;corn export flows;food manufacturing inputs;grain shipping corridors;marine insurance premiums;regional defense demand;tanker routes,LNG;agricultural commodities;crude oil;defense contractors;fertilizer producers;food producers;grain traders;marine insurers;refiners;shipping companies;tanker operators,maritime_chokepoint,ETF,broad_proxy,"Ticker is an ETF, fund, or basket used as broad proxy exposure for the maritime_chokepoint node: Basket exposure to global shipping companies sensitive to maritime route disruptions",7;9,9,potentially_broad,"Node label represents a broad function, sector, or channel in the current mapping vocabulary.",weak_cooccurrence,Supporting cases share a broad node but have low event-type and affected-asset-type overlap.,broad,Mapped ticker is a broad_proxy instrument or ETF/basket exposure.,likely_noise,Weak cross-case mechanism support combined with broad node or broad/questionable mapping.,broad_node;weak_supporting_case_consistency;broad_asset_mapping
eval_defense_supply_chain_escalation,eval_defense_supply_chain_escalation,defense_spending_shock,maritime_chokepoint,MATX,Matson Inc,sector_proxy,2,case_black_sea_grain_export_disruption;case_israel_iran_escalation_energy_risk,war-related agricultural export disruption;regional military escalation and energy chokepoint risk,agriculture;defense;energy;fertilizer;freight_routes;grain_exports;lng_shipping;logistics;marine_insurance;maritime_chokepoint;oil_shipping;refining,Black Sea wheat exports;LNG cargo flows;Persian Gulf crude exports;corn export flows;food manufacturing inputs;grain shipping corridors;marine insurance premiums;regional defense demand;tanker routes,LNG;agricultural commodities;crude oil;defense contractors;fertilizer producers;food producers;grain traders;marine insurers;refiners;shipping companies;tanker operators,maritime_chokepoint,Stock,related_exposure,"Ocean transportation and logistics operations are materially route-dependent, but maritime chokepoints are route constraints rather than Matson's core node-specific business activity.",7;9,9,potentially_broad,"Node label represents a broad function, sector, or channel in the current mapping vocabulary.",weak_cooccurrence,Supporting cases share a broad node but have low event-type and affected-asset-type overlap.,broad,Mapping is economically related but indirect/diversified according to asset_mapping metadata.,likely_noise,Weak cross-case mechanism support combined with broad node or broad/questionable mapping.,broad_node;weak_supporting_case_consistency;broad_asset_mapping
