case_id,event_type,node,migration_status,existing_context,proposed_context,missing_fields,evidence_basis,confidence,notes
case_2021_suez_blockage,shipping chokepoint disruption,maritime_chokepoint,already_migrated,"{""canonical_context"": ""maritime_route_capacity_constraint"", ""constraint_type"": ""route_disruption"", ""node"": ""maritime_chokepoint"", ""shock_type"": ""physical_disruption"", ""target_node_role"": ""direct_disruption_target"", ""upstream_driver"": ""canal_blockage""}","{""canonical_context"": ""maritime_route_capacity_constraint"", ""constraint_type"": ""route_disruption"", ""node"": ""maritime_chokepoint"", ""shock_type"": ""physical_disruption"", ""target_node_role"": ""direct_disruption_target"", ""upstream_driver"": ""canal_blockage""}",,existing development-enriched node context,high,Preserved without modification.
case_2021_suez_blockage,shipping chokepoint disruption,container_shipping,already_migrated,"{""canonical_context"": ""maritime_route_capacity_constraint"", ""constraint_type"": ""route_disruption"", ""node"": ""container_shipping"", ""shock_type"": ""physical_disruption"", ""target_node_role"": ""direct_disruption_target"", ""upstream_driver"": ""canal_blockage""}","{""canonical_context"": ""maritime_route_capacity_constraint"", ""constraint_type"": ""route_disruption"", ""node"": ""container_shipping"", ""shock_type"": ""physical_disruption"", ""target_node_role"": ""direct_disruption_target"", ""upstream_driver"": ""canal_blockage""}",,existing development-enriched node context,high,Preserved without modification.
case_2021_suez_blockage,shipping chokepoint disruption,ports,resolvable,{},"{""canonical_context"": ""maritime_route_capacity_constraint"", ""constraint_type"": ""route_disruption"", ""node"": ""ports"", ""shock_type"": ""physical_disruption"", ""target_node_role"": ""transmission_channel"", ""upstream_driver"": ""vessel_grounding""}",,"event_type, supply_chain_nodes, affected_asset_types, affected_assets, transmission_chain, summary",medium,Conservative frozen-vocabulary proposal from existing historical fields.
case_2021_suez_blockage,shipping chokepoint disruption,freight_routes,resolvable,{},"{""canonical_context"": ""maritime_route_capacity_constraint"", ""constraint_type"": ""route_disruption"", ""node"": ""freight_routes"", ""shock_type"": ""physical_disruption"", ""target_node_role"": ""transmission_channel"", ""upstream_driver"": ""vessel_grounding""}",,"event_type, supply_chain_nodes, affected_asset_types, affected_assets, transmission_chain, summary",medium,Conservative frozen-vocabulary proposal from existing historical fields.
case_2021_suez_blockage,shipping chokepoint disruption,logistics,resolvable,{},"{""canonical_context"": ""maritime_route_capacity_constraint"", ""constraint_type"": ""route_disruption"", ""node"": ""logistics"", ""shock_type"": ""physical_disruption"", ""target_node_role"": ""transmission_channel"", ""upstream_driver"": ""vessel_grounding""}",,"event_type, supply_chain_nodes, affected_asset_types, affected_assets, transmission_chain, summary",medium,Conservative frozen-vocabulary proposal from existing historical fields.
case_2021_suez_blockage,shipping chokepoint disruption,energy,ambiguous,{},{},shock_type;constraint_type;upstream_driver;target_node_role;canonical_context,,low,Existing frozen vocabulary and raw case fields do not support a precise node-level context.
case_2023_red_sea_attacks,maritime security disruption,maritime_chokepoint,already_migrated,"{""canonical_context"": ""maritime_route_security_constraint"", ""constraint_type"": ""route_disruption"", ""node"": ""maritime_chokepoint"", ""shock_type"": ""military_escalation"", ""target_node_role"": ""direct_disruption_target"", ""upstream_driver"": ""red_sea_vessel_security_risk""}","{""canonical_context"": ""maritime_route_security_constraint"", ""constraint_type"": ""route_disruption"", ""node"": ""maritime_chokepoint"", ""shock_type"": ""military_escalation"", ""target_node_role"": ""direct_disruption_target"", ""upstream_driver"": ""red_sea_vessel_security_risk""}",,existing development-enriched node context,high,Preserved without modification.
case_2023_red_sea_attacks,maritime security disruption,container_shipping,already_migrated,"{""canonical_context"": ""maritime_route_security_constraint"", ""constraint_type"": ""route_disruption"", ""node"": ""container_shipping"", ""shock_type"": ""military_escalation"", ""target_node_role"": ""direct_disruption_target"", ""upstream_driver"": ""red_sea_vessel_security_risk""}","{""canonical_context"": ""maritime_route_security_constraint"", ""constraint_type"": ""route_disruption"", ""node"": ""container_shipping"", ""shock_type"": ""military_escalation"", ""target_node_role"": ""direct_disruption_target"", ""upstream_driver"": ""red_sea_vessel_security_risk""}",,existing development-enriched node context,high,Preserved without modification.
case_2023_red_sea_attacks,maritime security disruption,freight_routes,resolvable,{},"{""canonical_context"": ""maritime_route_security_constraint"", ""constraint_type"": ""route_disruption"", ""node"": ""freight_routes"", ""shock_type"": ""military_escalation"", ""target_node_role"": ""transmission_channel"", ""upstream_driver"": ""vessel_security_risk""}",,"event_type, supply_chain_nodes, affected_asset_types, affected_assets, transmission_chain, summary",medium,Conservative frozen-vocabulary proposal from existing historical fields.
case_2023_red_sea_attacks,maritime security disruption,marine_insurance,already_migrated,"{""canonical_context"": ""maritime_route_security_constraint"", ""constraint_type"": ""insurance_constraint"", ""node"": ""marine_insurance"", ""shock_type"": ""military_escalation"", ""target_node_role"": ""financing_or_insurance_channel"", ""upstream_driver"": ""vessel_security_risk""}","{""canonical_context"": ""maritime_route_security_constraint"", ""constraint_type"": ""insurance_constraint"", ""node"": ""marine_insurance"", ""shock_type"": ""military_escalation"", ""target_node_role"": ""financing_or_insurance_channel"", ""upstream_driver"": ""vessel_security_risk""}",,existing development-enriched node context,high,Preserved without modification.
case_2023_red_sea_attacks,maritime security disruption,oil_shipping,already_migrated,"{""canonical_context"": ""oil_shipping_security_constraint"", ""constraint_type"": ""route_disruption"", ""node"": ""oil_shipping"", ""shock_type"": ""military_escalation"", ""target_node_role"": ""transmission_channel"", ""upstream_driver"": ""red_sea_vessel_security_risk""}","{""canonical_context"": ""oil_shipping_security_constraint"", ""constraint_type"": ""route_disruption"", ""node"": ""oil_shipping"", ""shock_type"": ""military_escalation"", ""target_node_role"": ""transmission_channel"", ""upstream_driver"": ""red_sea_vessel_security_risk""}",,existing development-enriched node context,high,Preserved without modification.
case_2023_red_sea_attacks,maritime security disruption,lng_shipping,resolvable,{},"{""canonical_context"": ""energy_shipping_sanctions_route_constraint"", ""constraint_type"": ""route_disruption"", ""node"": ""lng_shipping"", ""shock_type"": ""military_escalation"", ""target_node_role"": ""direct_disruption_target"", ""upstream_driver"": ""vessel_security_risk""}",,"event_type, supply_chain_nodes, affected_asset_types, affected_assets, transmission_chain, summary",medium,Conservative frozen-vocabulary proposal from existing historical fields.
