supply_chain_node,sector,ticker,asset_name,asset_type,region,notes,linkage_tier,linkage_rationale
maritime_chokepoint,Shipping,BOAT,SonicShares Global Shipping ETF,ETF,Global,Basket exposure to global shipping companies sensitive to maritime route disruptions,broad_proxy,"Ticker is an ETF, fund, or basket used as broad proxy exposure for the maritime_chokepoint node: Basket exposure to global shipping companies sensitive to maritime route disruptions"
maritime_chokepoint,Shipping,MATX,Matson Inc,Stock,United States,Ocean transportation and logistics operator with Pacific route exposure,related_exposure,"Ocean transportation and logistics operations are materially route-dependent, but maritime chokepoints are route constraints rather than Matson's core node-specific business activity."
container_shipping,Shipping,DAC,Danaos Corporation,Stock,Global,Containership owner with exposure to container vessel demand and charter markets,direct_exposure,Core operations or products are directly tied to the container_shipping node: Containership owner with exposure to container vessel demand and charter markets
container_shipping,Shipping,MAERSK-B.CO,A P Moller Maersk Class B,Stock,Europe,Global container shipping and integrated logistics operator,direct_exposure,Core operations or products are directly tied to the container_shipping node: Global container shipping and integrated logistics operator
freight_routes,Logistics,FDX,FedEx Corporation,Stock,United States,Parcel and freight network with global trade route sensitivity,related_exposure,"Parcel and freight networks are materially affected by freight-route disruption, but freight routes are a broad network condition rather than a specific primary revenue activity."
freight_routes,Logistics,UPS,United Parcel Service Inc,Stock,United States,Parcel and freight network exposed to cross-border shipment flows,related_exposure,"Parcel and freight networks are materially affected by freight-route disruption, but freight routes are a broad cross-modal operating condition rather than a specific core business activity."
ports,Port Operations,1199.HK,COSCO SHIPPING Ports Limited,Stock,Asia,Port operator with container terminal exposure across major trade lanes,direct_exposure,Core operations or products are directly tied to the ports node: Port operator with container terminal exposure across major trade lanes
ports,Port Operations,0144.HK,China Merchants Port Holdings Company Limited,Stock,Asia,Port infrastructure operator exposed to container throughput,direct_exposure,Core operations or products are directly tied to the ports node: Port infrastructure operator exposed to container throughput
marine_insurance,Insurance,CB,Chubb Limited,Stock,Global,Commercial insurer with marine and specialty insurance exposure,related_exposure,Business has meaningful but diversified or indirect economic linkage to the marine_insurance node: Commercial insurer with marine and specialty insurance exposure
marine_insurance,Insurance,TRV,The Travelers Companies Inc,Stock,United States,Property casualty insurer with commercial insurance exposure,related_exposure,Business has meaningful but diversified or indirect economic linkage to the marine_insurance node: Property casualty insurer with commercial insurance exposure
oil_shipping,Shipping,FRO,Frontline plc,Stock,Global,Crude tanker operator exposed to oil shipping routes and tanker rates,direct_exposure,Core operations or products are directly tied to the oil_shipping node: Crude tanker operator exposed to oil shipping routes and tanker rates
oil_shipping,Shipping,DHT,DHT Holdings Inc,Stock,Global,Crude oil tanker company exposed to VLCC market conditions,direct_exposure,Core operations or products are directly tied to the oil_shipping node: Crude oil tanker company exposed to VLCC market conditions
lng_shipping,Shipping,FLNG,FLEX LNG Ltd,Stock,Global,LNG carrier owner exposed to seaborne LNG transportation,direct_exposure,Core operations or products are directly tied to the lng_shipping node: LNG carrier owner exposed to seaborne LNG transportation
lng_shipping,Energy,LNG,Cheniere Energy Inc,Stock,United States,LNG exporter exposed to global gas trade and liquefaction demand,related_exposure,"LNG export and liquefaction operations are tied to global LNG trade, but seaborne LNG shipping is a downstream transport linkage rather than the company's primary operating activity."
energy,Energy,XLE,Energy Select Sector SPDR Fund,ETF,United States,Broad ETF exposure to US energy companies,broad_proxy,"Ticker is an ETF, fund, or basket used as broad proxy exposure for the energy node: Broad ETF exposure to US energy companies"
energy,Energy,XOM,Exxon Mobil Corporation,Stock,Global,Integrated energy producer with upstream and downstream exposure,related_exposure,Business has meaningful but diversified or indirect economic linkage to the energy node: Integrated energy producer with upstream and downstream exposure
refining,Energy,VLO,Valero Energy Corporation,Stock,United States,Refiner exposed to crude supply and refined product margins,direct_exposure,Core operations or products are directly tied to the refining node: Refiner exposed to crude supply and refined product margins
refining,Energy,MPC,Marathon Petroleum Corporation,Stock,United States,Refining and midstream operator exposed to fuel markets,direct_exposure,Core operations or products are directly tied to the refining node: Refining and midstream operator exposed to fuel markets
petrochemicals,Chemicals,DOW,Dow Inc,Stock,Global,Commodity chemicals producer exposed to petrochemical feedstocks,direct_exposure,Core operations or products are directly tied to the petrochemicals node: Commodity chemicals producer exposed to petrochemical feedstocks
petrochemicals,Chemicals,LYB,LyondellBasell Industries NV,Stock,Global,Petrochemical producer exposed to olefins polymers and feedstock costs,direct_exposure,Core operations or products are directly tied to the petrochemicals node: Petrochemical producer exposed to olefins polymers and feedstock costs
aviation,Airlines,JETS,U S Global Jets ETF,ETF,Global,Airline ETF exposed to fuel costs travel demand and route disruptions,broad_proxy,"Ticker is an ETF, fund, or basket used as broad proxy exposure for the aviation node: Airline ETF exposed to fuel costs travel demand and route disruptions"
aviation,Airlines,DAL,Delta Air Lines Inc,Stock,United States,Airline exposed to jet fuel and international travel disruption risks,direct_exposure,Core operations or products are directly tied to the aviation node: Airline exposed to jet fuel and international travel disruption risks
semiconductor_equipment,Semiconductors,ASML,ASML Holding NV ADR,ADR,Europe,Advanced lithography supplier exposed to semiconductor equipment controls,direct_exposure,Core operations or products are directly tied to the semiconductor_equipment node: Advanced lithography supplier exposed to semiconductor equipment controls
semiconductor_equipment,Semiconductors,AMAT,Applied Materials Inc,Stock,United States,Semiconductor manufacturing equipment supplier,direct_exposure,Core operations or products are directly tied to the semiconductor_equipment node: Semiconductor manufacturing equipment supplier
ai_chips,Semiconductors,NVDA,NVIDIA Corporation,Stock,United States,Advanced accelerator and GPU supplier exposed to AI chip demand and export controls,direct_exposure,Core operations or products are directly tied to the ai_chips node: Advanced accelerator and GPU supplier exposed to AI chip demand and export controls
ai_chips,Semiconductors,AMD,Advanced Micro Devices Inc,Stock,United States,CPU GPU and accelerator supplier exposed to data center chip demand,related_exposure,"AMD participates in AI accelerators, but AI chips are one component of a diversified CPU, GPU, data-center, and client processor business."
