event_source,event_id,event_name,expected_case,retrieval_rank,retrieved_case_id,retrieval_relevance,retrieved_case_event_type,retrieved_case_nodes,retrieved_case_asset_types,retrieved_case_assets
evaluation_cases,eval_red_sea_shipping_disruption,eval_red_sea_shipping_disruption,True,1,case_2023_red_sea_attacks,semantic_distance=0.3082,maritime security disruption,maritime_chokepoint;container_shipping;freight_routes;marine_insurance;oil_shipping;lng_shipping;logistics,shipping equities;freight rates;marine insurers;energy transport;import-dependent retailers,container carriers;tanker operators;marine insurance underwriters;European importers;Asian exporters
evaluation_cases,eval_red_sea_shipping_disruption,eval_red_sea_shipping_disruption,False,2,case_2021_suez_blockage,semantic_distance=0.6016,shipping chokepoint disruption,maritime_chokepoint;container_shipping;ports;freight_routes;logistics;energy,shipping equities;logistics companies;port operators;retail supply chains;energy cargoes,container shipping operators;freight forwarders;European and Asian importers;oil and LNG cargo flows
evaluation_cases,eval_red_sea_shipping_disruption,eval_red_sea_shipping_disruption,False,3,case_2024_us_east_gulf_port_strike,semantic_distance=0.6525,port labor and shipping logistics disruption,port_labor;ports;container_shipping;freight_routes;logistics;trade_lanes,port operators;container shipping companies;freight forwarders;retailers;manufacturers,US East Coast port throughput;container shipping schedules;retail import flows;manufacturing inputs
evaluation_cases,eval_semiconductor_export_controls,eval_semiconductor_export_controls,True,1,case_2022_us_china_semiconductor_controls,semantic_distance=0.2917,technology export controls,ai_chips;semiconductor_equipment;eda_software;foundry;data_centers,semiconductor equipment companies;advanced chip designers;foundries;Chinese technology firms;electronics supply chains,advanced GPU supply;wafer fabrication equipment;EDA software access;Chinese data center operators;global semiconductor suppliers
evaluation_cases,eval_semiconductor_export_controls,eval_semiconductor_export_controls,False,2,case_2023_japan_chip_equipment_export_controls,semantic_distance=0.4417,semiconductor equipment export control and customs licensing risk,semiconductor_equipment;ai_chips;foundry;customs;data_centers;manufacturing_inputs,semiconductor equipment suppliers;foundries;AI chip designers;electronics manufacturers;data center operators,Japanese chipmaking tools;advanced foundry capacity;AI accelerator supply chains;data center hardware procurement
evaluation_cases,eval_semiconductor_export_controls,eval_semiconductor_export_controls,False,3,case_2023_dutch_asml_controls,semantic_distance=0.5364,technology export controls,semiconductor_equipment;foundry;customs,semiconductor equipment companies;foundries;chip manufacturers;electronics supply chains,advanced lithography tools;Chinese semiconductor fabs;European chip equipment suppliers;global foundry capacity plans
evaluation_cases,eval_russia_europe_gas_disruption,eval_russia_europe_gas_disruption,False,1,case_2009_russia_ukraine_gas_transit_dispute,semantic_distance=0.3859,pipeline gas transit disruption and energy security shock,energy;pipeline_infrastructure;petrochemicals;manufacturing_inputs;trade_lanes;lng_shipping,gas utilities;pipeline operators;chemical producers;industrial manufacturers;LNG suppliers,Ukraine gas transit routes;European gas storage;energy-intensive manufacturing;LNG procurement options
evaluation_cases,eval_russia_europe_gas_disruption,eval_russia_europe_gas_disruption,True,2,case_russia_ukraine_energy_shock,semantic_distance=0.3946,war and sanctions energy disruption,energy;lng_shipping;refining;petrochemicals;manufacturing_inputs,natural gas;crude oil;utilities;chemicals;metals producers;LNG infrastructure,European gas benchmarks;LNG import terminals;energy-intensive manufacturers;power utilities;fertilizer producers
evaluation_cases,eval_russia_europe_gas_disruption,eval_russia_europe_gas_disruption,False,3,case_2022_nord_stream_pipeline_sabotage,semantic_distance=0.4654,energy infrastructure sabotage and pipeline disruption,pipeline_infrastructure;energy;lng_shipping;petrochemicals;manufacturing_inputs;cyber_infrastructure,natural gas;pipeline operators;LNG infrastructure;utilities;chemical producers;manufacturers,European gas infrastructure;LNG import capacity;power generation inputs;energy-intensive manufacturing
evaluation_cases,eval_natural_gas_fertilizer_shock,eval_natural_gas_fertilizer_shock,True,1,case_2022_gas_fertilizer_shock,semantic_distance=0.3171,energy and agricultural input shock,energy;fertilizer;agriculture;petrochemicals;manufacturing_inputs,natural gas;fertilizer producers;agriculture commodities;food producers;chemical companies,European ammonia plants;nitrogen fertilizer supply;grain producers;food manufacturing input costs;natural gas benchmarks
evaluation_cases,eval_natural_gas_fertilizer_shock,eval_natural_gas_fertilizer_shock,False,2,case_2021_belarus_potash_sanctions,semantic_distance=0.7434,fertilizer sanctions and agricultural input disruption,fertilizer;agriculture;customs;trade_lanes;freight_routes;logistics,fertilizer producers;agricultural commodities;grain producers;logistics providers;food producers,Belarus potash exports;fertilizer import supply chains;agricultural input costs;Baltic port logistics
evaluation_cases,eval_natural_gas_fertilizer_shock,eval_natural_gas_fertilizer_shock,False,3,case_2022_russia_fertilizer_export_restrictions,semantic_distance=0.7592,fertilizer export restriction and agricultural input shock,fertilizer;agriculture;energy;trade_lanes;customs;logistics,fertilizer producers;agribusiness firms;grain traders;logistics providers;food producers,nitrogen and potash fertilizer flows;Brazil crop input supply;agricultural logistics;food production input costs
evaluation_cases,eval_us_china_tariffs,eval_us_china_tariffs,True,1,case_2018_2019_us_china_tariffs,semantic_distance=0.2635,trade policy and tariffs,trade_lanes;customs;manufacturing_inputs;agriculture;logistics,manufacturers;retailers;agricultural commodities;industrial exporters;logistics providers,US soybean exports;Chinese manufactured goods;electronics importers;industrial machinery exporters;retail supply chains
evaluation_cases,eval_us_china_tariffs,eval_us_china_tariffs,False,2,case_2024_ev_tariff_escalation_china,semantic_distance=0.6002,tariff escalation and clean technology trade restriction,customs;trade_lanes;battery_materials;manufacturing_inputs;logistics;critical_minerals,EV manufacturers;battery suppliers;solar equipment producers;logistics providers;manufacturers,EV import flows;battery component supply chains;solar equipment imports;clean technology manufacturing inputs
