source_type,event_id,case_id,node,has_context,missing_fields,non_informative_fields,gap_type,notes
current_event_projection,dev_red_sea_shipping_disruption,,container_shipping,True,,,fully_covered,all required node-level context fields are informative
historical_case,,case_2023_red_sea_attacks,container_shipping,True,,,fully_covered,all required node-level context fields are informative
historical_case,,case_2008_somali_piracy_gulf_of_aden,container_shipping,True,,,fully_covered,all required node-level context fields are informative
current_event_projection,dev_red_sea_shipping_disruption,,marine_insurance,True,,,fully_covered,all required node-level context fields are informative
historical_case,,case_2023_red_sea_attacks,marine_insurance,True,,,fully_covered,all required node-level context fields are informative
historical_case,,case_hormuz_tanker_tensions,marine_insurance,True,,,fully_covered,all required node-level context fields are informative
current_event_projection,dev_red_sea_shipping_disruption,,defense,True,,,fully_covered,all required node-level context fields are informative
historical_case,,case_2023_south_china_sea_shipping_tensions,defense,True,,,fully_covered,all required node-level context fields are informative
historical_case,,case_2019_turkey_f35_s400_defense_restrictions,defense,True,,,fully_covered,all required node-level context fields are informative
current_event_projection,dev_energy_sanctions_oil_shipping,,financial_sanctions,True,,,fully_covered,all required node-level context fields are informative
historical_case,,case_2022_russia_swift_financial_sanctions,financial_sanctions,True,,,fully_covered,all required node-level context fields are informative
historical_case,,case_2018_iran_swift_restrictions,financial_sanctions,True,,,fully_covered,all required node-level context fields are informative
current_event_projection,dev_energy_sanctions_oil_shipping,,oil_shipping,True,,,fully_covered,all required node-level context fields are informative
historical_case,,case_2019_cosco_shipping_sanctions_tanker_market,oil_shipping,True,,,fully_covered,all required node-level context fields are informative
historical_case,,case_2018_iran_oil_sanctions_reimposition,oil_shipping,True,,,fully_covered,all required node-level context fields are informative
current_event_projection,dev_energy_sanctions_oil_shipping,,energy,True,,,fully_covered,all required node-level context fields are informative
historical_case,,case_2019_venezuela_oil_sanctions,energy,True,,,fully_covered,all required node-level context fields are informative
historical_case,,case_2022_russia_swift_financial_sanctions,energy,True,,,fully_covered,all required node-level context fields are informative
current_event_projection,dev_graphite_export_controls,,battery_materials,True,,,fully_covered,all required node-level context fields are informative
historical_case,,case_2023_china_graphite_battery_export_controls,battery_materials,True,,,fully_covered,all required node-level context fields are informative
historical_case,,case_2022_chile_lithium_policy_shift,battery_materials,True,,,fully_covered,all required node-level context fields are informative
current_event_projection,dev_graphite_export_controls,,critical_minerals,True,,,fully_covered,all required node-level context fields are informative
historical_case,,case_2020_indonesia_nickel_export_ban,critical_minerals,True,,,fully_covered,all required node-level context fields are informative
historical_case,,case_2024_drc_cobalt_copper_mining_disruption,critical_minerals,True,,,fully_covered,all required node-level context fields are informative
current_event_projection,dev_semiconductor_export_controls,,semiconductor_equipment,True,,,fully_covered,all required node-level context fields are informative
historical_case,,case_2023_dutch_asml_controls,semiconductor_equipment,True,,,fully_covered,all required node-level context fields are informative
historical_case,,case_2023_japan_chip_equipment_export_controls,semiconductor_equipment,True,,,fully_covered,all required node-level context fields are informative
historical_case,,case_2019_huawei_entity_list,semiconductor_equipment,True,,,fully_covered,all required node-level context fields are informative
current_event_projection,dev_semiconductor_export_controls,,defense,True,,,fully_covered,all required node-level context fields are informative
historical_case,,case_2024_taiwan_strait_drills_semiconductor_supply,defense,True,,,fully_covered,all required node-level context fields are informative
historical_case,,case_taiwan_strait_semiconductor_risk,defense,True,,,fully_covered,all required node-level context fields are informative
current_event_projection,dev_food_export_restriction,,grain_exports,True,,,fully_covered,all required node-level context fields are informative
historical_case,,case_2022_india_wheat_export_ban,grain_exports,True,,,fully_covered,all required node-level context fields are informative
historical_case,,case_2008_rice_export_restrictions_food_security,grain_exports,True,,,fully_covered,all required node-level context fields are informative
current_event_projection,dev_food_export_restriction,,agriculture,True,,,fully_covered,all required node-level context fields are informative
