comparison,from_k,to_k,event_id,event_name,node,ticker,asset_name,asset_type,linkage_tier,supporting_case_ids,support_count,node_retrieved_supporting_case_ids,node_retrieved_support_count,retrieved_supporting_case_count,evidence_level,mapping_status
k3_to_k5,3,5,eval_black_sea_grain_export_disruption,eval_black_sea_grain_export_disruption,customs,CHRW,C H Robinson Worldwide Inc,Stock,related_exposure,case_2008_rice_export_restrictions_food_security;case_2022_india_wheat_export_ban,2,case_2008_rice_export_restrictions_food_security;case_2022_india_wheat_export_ban,2,2,sector_proxy,mapped
k3_to_k5,3,5,eval_black_sea_grain_export_disruption,eval_black_sea_grain_export_disruption,customs,DSGX,The Descartes Systems Group Inc,Stock,direct_exposure,case_2008_rice_export_restrictions_food_security;case_2022_india_wheat_export_ban,2,case_2008_rice_export_restrictions_food_security;case_2022_india_wheat_export_ban,2,2,sector_proxy,mapped
k3_to_k5,3,5,eval_black_sea_grain_export_disruption,eval_black_sea_grain_export_disruption,food_export_controls,DBA,Invesco DB Agriculture Fund,ETF,broad_proxy,case_2008_rice_export_restrictions_food_security;case_2022_india_wheat_export_ban,2,case_2008_rice_export_restrictions_food_security;case_2022_india_wheat_export_ban,2,2,sector_proxy,mapped
k3_to_k5,3,5,eval_black_sea_grain_export_disruption,eval_black_sea_grain_export_disruption,food_export_controls,WEAT,Teucrium Wheat Fund,ETF,broad_proxy,case_2008_rice_export_restrictions_food_security;case_2022_india_wheat_export_ban,2,case_2008_rice_export_restrictions_food_security;case_2022_india_wheat_export_ban,2,2,sector_proxy,mapped
k3_to_k5,3,5,eval_black_sea_grain_export_disruption,eval_black_sea_grain_export_disruption,trade_lanes,DHL.DE,DHL Group,Stock,related_exposure,case_2008_rice_export_restrictions_food_security;case_2022_india_wheat_export_ban,2,case_2008_rice_export_restrictions_food_security;case_2022_india_wheat_export_ban,2,2,sector_proxy,mapped
k3_to_k5,3,5,eval_black_sea_grain_export_disruption,eval_black_sea_grain_export_disruption,trade_lanes,EXPD,Expeditors International of Washington Inc,Stock,related_exposure,case_2008_rice_export_restrictions_food_security;case_2022_india_wheat_export_ban,2,case_2008_rice_export_restrictions_food_security;case_2022_india_wheat_export_ban,2,2,sector_proxy,mapped
k3_to_k5,3,5,eval_china_graphite_battery_controls,eval_china_graphite_battery_controls,battery_materials,ALB,Albemarle Corporation,Stock,direct_exposure,case_2023_china_graphite_battery_export_controls;case_2020_indonesia_nickel_export_ban;case_2022_chile_lithium_policy_shift,3,case_2023_china_graphite_battery_export_controls;case_2020_indonesia_nickel_export_ban;case_2022_chile_lithium_policy_shift,3,3,sector_proxy,mapped
k3_to_k5,3,5,eval_china_graphite_battery_controls,eval_china_graphite_battery_controls,battery_materials,LIT,Global X Lithium & Battery Tech ETF,ETF,broad_proxy,case_2023_china_graphite_battery_export_controls;case_2020_indonesia_nickel_export_ban;case_2022_chile_lithium_policy_shift,3,case_2023_china_graphite_battery_export_controls;case_2020_indonesia_nickel_export_ban;case_2022_chile_lithium_policy_shift,3,3,sector_proxy,mapped
k3_to_k5,3,5,eval_china_graphite_battery_controls,eval_china_graphite_battery_controls,trade_lanes,DHL.DE,DHL Group,Stock,related_exposure,case_2020_indonesia_nickel_export_ban;case_2022_chile_lithium_policy_shift,2,case_2020_indonesia_nickel_export_ban;case_2022_chile_lithium_policy_shift,2,2,sector_proxy,mapped
k3_to_k5,3,5,eval_china_graphite_battery_controls,eval_china_graphite_battery_controls,trade_lanes,EXPD,Expeditors International of Washington Inc,Stock,related_exposure,case_2020_indonesia_nickel_export_ban;case_2022_chile_lithium_policy_shift,2,case_2020_indonesia_nickel_export_ban;case_2022_chile_lithium_policy_shift,2,2,sector_proxy,mapped
k3_to_k5,3,5,eval_cyber_port_pipeline_disruption,eval_cyber_port_pipeline_disruption,container_shipping,DAC,Danaos Corporation,Stock,direct_exposure,case_2017_notpetya_shipping_logistics_cyberattack;case_2023_dp_world_australia_cyber_port_disruption,2,case_2017_notpetya_shipping_logistics_cyberattack;case_2023_dp_world_australia_cyber_port_disruption,2,2,sector_proxy,mapped
k3_to_k5,3,5,eval_cyber_port_pipeline_disruption,eval_cyber_port_pipeline_disruption,container_shipping,MAERSK-B.CO,A P Moller Maersk Class B,Stock,direct_exposure,case_2017_notpetya_shipping_logistics_cyberattack;case_2023_dp_world_australia_cyber_port_disruption,2,case_2017_notpetya_shipping_logistics_cyberattack;case_2023_dp_world_australia_cyber_port_disruption,2,2,sector_proxy,mapped
k3_to_k5,3,5,eval_defense_supply_chain_escalation,eval_defense_supply_chain_escalation,aerospace_supply_chain,AIR.PA,Airbus SE,Stock,related_exposure,case_2023_middle_east_defense_supply_escalation;case_2019_turkey_f35_s400_defense_restrictions,2,case_2023_middle_east_defense_supply_escalation;case_2019_turkey_f35_s400_defense_restrictions,2,2,sector_proxy,mapped
k3_to_k5,3,5,eval_defense_supply_chain_escalation,eval_defense_supply_chain_escalation,aerospace_supply_chain,BA,Boeing Company,Stock,related_exposure,case_2023_middle_east_defense_supply_escalation;case_2019_turkey_f35_s400_defense_restrictions,2,case_2023_middle_east_defense_supply_escalation;case_2019_turkey_f35_s400_defense_restrictions,2,2,sector_proxy,mapped
k3_to_k5,3,5,eval_defense_supply_chain_escalation,eval_defense_supply_chain_escalation,logistics,JBHT,J B Hunt Transport Services Inc,Stock,direct_exposure,case_2017_north_korea_missile_escalation;case_2022_ukraine_electricity_grid_attacks,2,case_2017_north_korea_missile_escalation;case_2022_ukraine_electricity_grid_attacks,2,2,sector_proxy,mapped
k3_to_k5,3,5,eval_defense_supply_chain_escalation,eval_defense_supply_chain_escalation,logistics,KNIN.SW,Kuehne + Nagel International AG,Stock,direct_exposure,case_2017_north_korea_missile_escalation;case_2022_ukraine_electricity_grid_attacks,2,case_2017_north_korea_missile_escalation;case_2022_ukraine_electricity_grid_attacks,2,2,sector_proxy,mapped
k3_to_k5,3,5,eval_defense_supply_chain_escalation,eval_defense_supply_chain_escalation,trade_lanes,DHL.DE,DHL Group,Stock,related_exposure,case_2017_north_korea_missile_escalation;case_2019_turkey_f35_s400_defense_restrictions,2,case_2017_north_korea_missile_escalation;case_2019_turkey_f35_s400_defense_restrictions,2,2,sector_proxy,mapped
k3_to_k5,3,5,eval_defense_supply_chain_escalation,eval_defense_supply_chain_escalation,trade_lanes,EXPD,Expeditors International of Washington Inc,Stock,related_exposure,case_2017_north_korea_missile_escalation;case_2019_turkey_f35_s400_defense_restrictions,2,case_2017_north_korea_missile_escalation;case_2019_turkey_f35_s400_defense_restrictions,2,2,sector_proxy,mapped
