event_date,event_headline,event_id,first_order_evaluated,first_order_hits,second_order_evaluated,second_order_hits,second_order_mean_abs_scar,second_order_median_abs_scar
2024-02-23,U.S. sanctions Sovcomflot and tankers tied to Russian oil shipping,v3_20240223_sovcomflot_sanctions,10,1,8,0,0.475372,0.308176
2024-03-06,Houthi anti-ship missile strikes M/V True Confidence in Gulf of Aden,v3_20240306_true_confidence_attack,14,0,2,0,0.256374,0.256374
2024-06-24,EU sanctions package bans Russian LNG transshipment services through EU territory,v3_20240624_eu_russian_lng_transshipment_ban,10,0,4,0,0.577471,0.619459
2024-08-21,MV Sounion oil tanker attacked in the Red Sea,v3_20240821_sounion_tanker_attack,14,0,2,0,1.485528,1.485528
2024-09-13,USTR finalizes China Section 301 tariff modifications after four-year review,v3_20240913_ustr_section301_tariffs_final,10,1,2,0,0.526918,0.526918
2024-12-03,U.S. sanctions Iranian shadow-fleet petroleum transport entities and vessels,v3_20241203_iran_shadow_fleet_sanctions,14,0,8,1,0.805292,0.548553
2025-01-10,U.S. sanctions Russian oil producers and shadow-fleet vessels,v3_20250110_us_russia_oil_sanctions,10,2,8,2,1.361408,0.838333
2025-02-01,"U.S. imposes tariffs on imports from Canada, Mexico and China",v3_20250201_canada_mexico_china_tariffs,10,1,2,0,0.344690,0.344690
2025-02-24,EU adopts 16th Russia sanctions package targeting shadow fleet and military suppliers,v3_20250224_eu_16th_russia_sanctions,10,0,8,3,1.337246,0.832218
2025-02-25,U.S. launches Section 232 investigation into copper import dependence,v3_20250225_copper_import_investigation,10,0,2,0,0.762654,0.762654
2025-04-04,China imposes rare-earth export controls after U.S. tariff escalation,v3_20250404_china_rare_earth_export_controls,10,7,2,1,1.781239,1.781239
2025-07-30,U.S. imposes Section 232 tariffs on copper products,v3_20250730_copper_tariffs,10,2,6,1,1.093879,0.932071
