event_source,event_id,event_name,ticker,asset_name,node,asset_type,linkage_tier,evidence_level,confidence,supporting_case_ids,ranking_scope,rank_within_order,ranking_key
evaluation_cases,eval_red_sea_shipping_disruption,eval_red_sea_shipping_disruption,0144.HK,China Merchants Port Holdings Company Limited,ports,Stock,direct_exposure,historical_supported,0.82,case_2023_red_sea_attacks;case_2021_suez_blockage,ranked_second_order,1,"{""evidence_level"": ""historical_supported"", ""evidence_rank"": 3, ""retrieval_support"": 0.75, ""supporting_case_count"": 2, ""supporting_case_count_saturated"": 2, ""symbol"": ""0144.hk""}"
evaluation_cases,eval_red_sea_shipping_disruption,eval_red_sea_shipping_disruption,1199.HK,COSCO SHIPPING Ports Limited,ports,Stock,direct_exposure,historical_supported,0.82,case_2023_red_sea_attacks;case_2021_suez_blockage,ranked_second_order,2,"{""evidence_level"": ""historical_supported"", ""evidence_rank"": 3, ""retrieval_support"": 0.75, ""supporting_case_count"": 2, ""supporting_case_count_saturated"": 2, ""symbol"": ""1199.hk""}"
evaluation_cases,eval_red_sea_shipping_disruption,eval_red_sea_shipping_disruption,XLE,Energy Select Sector SPDR Fund,energy,ETF,broad_proxy,sector_proxy,0.64,case_2021_suez_blockage;case_2023_arctic_lng_russian_energy_shipping_sanctions,ranked_second_order,3,"{""evidence_level"": ""sector_proxy"", ""evidence_rank"": 2, ""retrieval_support"": 0.375, ""supporting_case_count"": 2, ""supporting_case_count_saturated"": 2, ""symbol"": ""xle""}"
evaluation_cases,eval_red_sea_shipping_disruption,eval_red_sea_shipping_disruption,XOM,Exxon Mobil Corporation,energy,Stock,related_exposure,sector_proxy,0.64,case_2021_suez_blockage;case_2023_arctic_lng_russian_energy_shipping_sanctions,ranked_second_order,4,"{""evidence_level"": ""sector_proxy"", ""evidence_rank"": 2, ""retrieval_support"": 0.375, ""supporting_case_count"": 2, ""supporting_case_count_saturated"": 2, ""symbol"": ""xom""}"
evaluation_cases,eval_red_sea_shipping_disruption,eval_red_sea_shipping_disruption,DHL.DE,DHL Group,trade_lanes,Stock,related_exposure,sector_proxy,0.64,case_2024_us_east_gulf_port_strike;case_2023_south_china_sea_shipping_tensions,ranked_second_order,5,"{""evidence_level"": ""sector_proxy"", ""evidence_rank"": 2, ""retrieval_support"": 0.266667, ""supporting_case_count"": 2, ""supporting_case_count_saturated"": 2, ""symbol"": ""dhl.de""}"
evaluation_cases,eval_red_sea_shipping_disruption,eval_red_sea_shipping_disruption,EXPD,Expeditors International of Washington Inc,trade_lanes,Stock,related_exposure,sector_proxy,0.64,case_2024_us_east_gulf_port_strike;case_2023_south_china_sea_shipping_tensions,ranked_second_order,6,"{""evidence_level"": ""sector_proxy"", ""evidence_rank"": 2, ""retrieval_support"": 0.266667, ""supporting_case_count"": 2, ""supporting_case_count_saturated"": 2, ""symbol"": ""expd""}"
evaluation_cases,eval_semiconductor_export_controls,eval_semiconductor_export_controls,CAT,Caterpillar Inc,manufacturing_inputs,Stock,related_exposure,sector_proxy,0.64,case_2023_japan_chip_equipment_export_controls;case_2020_smic_entity_list_semiconductor_controls;case_2019_huawei_entity_list,ranked_second_order,1,"{""evidence_level"": ""sector_proxy"", ""evidence_rank"": 2, ""retrieval_support"": 0.316667, ""supporting_case_count"": 3, ""supporting_case_count_saturated"": 3, ""symbol"": ""cat""}"
evaluation_cases,eval_semiconductor_export_controls,eval_semiconductor_export_controls,DE,Deere & Company,manufacturing_inputs,Stock,related_exposure,sector_proxy,0.64,case_2023_japan_chip_equipment_export_controls;case_2020_smic_entity_list_semiconductor_controls;case_2019_huawei_entity_list,ranked_second_order,2,"{""evidence_level"": ""sector_proxy"", ""evidence_rank"": 2, ""retrieval_support"": 0.316667, ""supporting_case_count"": 3, ""supporting_case_count_saturated"": 3, ""symbol"": ""de""}"
evaluation_cases,eval_russia_europe_gas_disruption,eval_russia_europe_gas_disruption,ENB,Enbridge Inc,pipeline_infrastructure,Stock,direct_exposure,sector_proxy,0.64,case_2009_russia_ukraine_gas_transit_dispute;case_2022_nord_stream_pipeline_sabotage,ranked_second_order,1,"{""evidence_level"": ""sector_proxy"", ""evidence_rank"": 2, ""retrieval_support"": 0.666667, ""supporting_case_count"": 2, ""supporting_case_count_saturated"": 2, ""symbol"": ""enb""}"
evaluation_cases,eval_russia_europe_gas_disruption,eval_russia_europe_gas_disruption,TRP.TO,TC Energy Corporation,pipeline_infrastructure,Stock,direct_exposure,sector_proxy,0.64,case_2009_russia_ukraine_gas_transit_dispute;case_2022_nord_stream_pipeline_sabotage,ranked_second_order,2,"{""evidence_level"": ""sector_proxy"", ""evidence_rank"": 2, ""retrieval_support"": 0.666667, ""supporting_case_count"": 2, ""supporting_case_count_saturated"": 2, ""symbol"": ""trp.to""}"
evaluation_cases,eval_russia_europe_gas_disruption,eval_russia_europe_gas_disruption,DHL.DE,DHL Group,trade_lanes,Stock,related_exposure,sector_proxy,0.64,case_2009_russia_ukraine_gas_transit_dispute;case_uranium_nuclear_fuel_supply_disruption,ranked_second_order,3,"{""evidence_level"": ""sector_proxy"", ""evidence_rank"": 2, ""retrieval_support"": 0.6, ""supporting_case_count"": 2, ""supporting_case_count_saturated"": 2, ""symbol"": ""dhl.de""}"
