event_id,event_name,node,supporting_case_ids,audit_mechanism_label,asset_count,tickers,weak_mechanism,current_event_type,current_event_nodes,current_event_industries,same_event_type_fraction,max_event_type_token_similarity,mean_event_type_token_similarity,support_pairwise_event_type_jaccard,non_target_node_overlap_count,non_target_node_overlap,specific_node_overlap_count,specific_node_overlap,support_pairwise_non_target_node_jaccard,support_pairwise_specific_node_jaccard,industry_overlap_count,industry_overlap,support_pairwise_industry_jaccard,support_pairwise_asset_type_jaccard,shock_direction_available,shock_direction_agreement,support_pairwise_chain_token_jaccard,supporting_case_event_types,supporting_case_nodes,rule_1_event_type_and_node,rule_2_specific_node_or_industry,rule_3_support_context_similarity,rule_4_event_and_asset_context,rule_5_node_or_asset_context,rule_6_support_mechanism_overlap
eval_black_sea_grain_export_disruption,eval_black_sea_grain_export_disruption,energy,case_2021_suez_blockage;case_2022_russia_fertilizer_export_restrictions,weak_cooccurrence,2,XLE;XOM,True,grain_export_disruption,agriculture;fertilizer;freight_routes;grain_exports;logistics;maritime_chokepoint,agriculture;fertilizer;food production;grain trading;shipping,0.0,0.2,0.17142857142857143,0.0,5,agriculture;fertilizer;freight_routes;logistics;maritime_chokepoint,1,fertilizer,0.1111111111111111,0.0,4,agriculture;fertilizer;food production;shipping,0.0,0.0,False,,0.07692307692307693,shipping chokepoint disruption;fertilizer export restriction and agricultural input shock,agriculture;container_shipping;customs;energy;fertilizer;freight_routes;logistics;maritime_chokepoint;ports;trade_lanes,True,True,False,True,True,False
eval_china_graphite_battery_controls,eval_china_graphite_battery_controls,defense,case_rare_earth_export_restriction_risk;case_2010_china_japan_rare_earth_embargo,mixed,2,ITA;LMT,False,critical_minerals_export_controls,critical_minerals;customs;gallium_germanium_graphite;manufacturing_inputs;rare_earths,battery materials;critical minerals;electronics;rare earths,0.0,0.6,0.35,0.2222222222222222,4,critical_minerals;customs;manufacturing_inputs;rare_earths,2,critical_minerals;rare_earths,0.5,1.0,2,electronics;rare earths,0.42857142857142855,0.0,False,,0.1,critical minerals export restriction;rare earth export restriction and electronics input disruption,critical_minerals;customs;defense;energy;manufacturing_inputs;rare_earths;trade_lanes,True,True,False,True,True,True
eval_china_graphite_battery_controls,eval_china_graphite_battery_controls,logistics,case_2024_ev_tariff_escalation_china;case_2024_drc_cobalt_copper_mining_disruption;case_2022_peru_mine_protests_copper_supply,mixed,2,JBHT;KNIN.SW,False,critical_minerals_export_controls,critical_minerals;customs;gallium_germanium_graphite;manufacturing_inputs;rare_earths,battery materials;critical minerals;electronics;rare earths,0.0,0.1111111111111111,0.07407407407407407,0.16666666666666666,3,critical_minerals;customs;manufacturing_inputs,1,critical_minerals,1.0,1.0,3,battery materials;critical minerals;electronics,0.30952380952380953,0.1111111111111111,False,,0.10344827586206896,tariff escalation and clean technology trade restriction;critical mineral mining disruption and political instability;mining unrest and critical mineral shipment disruption,battery_materials;critical_minerals;customs;logistics;manufacturing_inputs;trade_lanes,False,True,True,False,True,True
eval_cyber_port_pipeline_disruption,eval_cyber_port_pipeline_disruption,maritime_chokepoint,case_2021_suez_blockage;case_2023_red_sea_attacks,mixed,2,BOAT;MATX,False,cyber_infrastructure_disruption,cyber_infrastructure;energy;freight_routes;logistics;pipeline_infrastructure;ports,cybersecurity;energy infrastructure;logistics;ports;transportation,0.0,0.2,0.2,0.2,4,energy;freight_routes;logistics;ports,1,ports,0.375,0.25,1,logistics,0.42857142857142855,0.1111111111111111,False,,0.16,shipping chokepoint disruption;maritime security disruption,container_shipping;energy;freight_routes;lng_shipping;logistics;marine_insurance;maritime_chokepoint;oil_shipping;ports,True,True,True,True,True,True
eval_cyber_port_pipeline_disruption,eval_cyber_port_pipeline_disruption,trade_lanes,case_2023_dp_world_australia_cyber_port_disruption;case_2009_russia_ukraine_gas_transit_dispute,weak_cooccurrence,2,DHL.DE;EXPD,True,cyber_infrastructure_disruption,cyber_infrastructure;energy;freight_routes;logistics;pipeline_infrastructure;ports,cybersecurity;energy infrastructure;logistics;ports;transportation,0.0,0.16666666666666666,0.14583333333333331,0.0,6,cyber_infrastructure;energy;freight_routes;logistics;pipeline_infrastructure;ports,3,cyber_infrastructure;pipeline_infrastructure;ports,0.0,0.0,3,cybersecurity;logistics;ports,0.0,0.0,False,,0.0,cyberattack on port logistics infrastructure;pipeline gas transit disruption and energy security shock,container_shipping;cyber_infrastructure;energy;freight_routes;lng_shipping;logistics;manufacturing_inputs;petrochemicals;pipeline_infrastructure;ports;trade_lanes,False,True,False,False,True,False
eval_defense_supply_chain_escalation,eval_defense_supply_chain_escalation,aviation,case_2017_north_korea_missile_escalation;case_2019_india_pakistan_airspace_closure;case_2011_libya_civil_war_oil_disruption,weak_cooccurrence,2,DAL;JETS,True,defense_spending_shock,ai_chips;cyber_infrastructure;defense;manufacturing_inputs;semiconductor_equipment,aerospace;cybersecurity;defense;electronics;manufacturing,0.0,0.0,0.0,0.0787037037037037,3,defense;manufacturing_inputs;semiconductor_equipment,1,semiconductor_equipment,0.37037037037037035,0.0,3,defense;electronics;manufacturing,0.2962962962962963,0.1574074074074074,False,,0.09285449441178029,missile escalation and regional security risk;border military escalation and airspace disruption;civil conflict and oil infrastructure supply disruption,aviation;defense;energy;freight_routes;logistics;manufacturing_inputs;oil_shipping;petrochemicals;refining;semiconductor_equipment;trade_lanes,False,True,True,False,True,True
eval_defense_supply_chain_escalation,eval_defense_supply_chain_escalation,energy,case_2022_ukraine_electricity_grid_attacks;case_israel_iran_escalation_energy_risk;case_2011_libya_civil_war_oil_disruption,weak_cooccurrence,2,XLE;XOM,True,defense_spending_shock,ai_chips;cyber_infrastructure;defense;manufacturing_inputs;semiconductor_equipment,aerospace;cybersecurity;defense;electronics;manufacturing,0.0,0.0,0.0,0.07407407407407407,3,cyber_infrastructure;defense;manufacturing_inputs,1,cyber_infrastructure,0.13333333333333333,0.16666666666666666,2,defense;manufacturing,0.08333333333333333,0.06666666666666667,False,,0.071551054309675,wartime electricity grid attack and infrastructure disruption;regional military escalation and energy chokepoint risk;civil conflict and oil infrastructure supply disruption,aviation;cyber_infrastructure;defense;energy;lng_shipping;logistics;manufacturing_inputs;marine_insurance;maritime_chokepoint;oil_shipping;petrochemicals;pipeline_infrastructure;refining;trade_lanes,False,True,False,False,True,False
eval_defense_supply_chain_escalation,eval_defense_supply_chain_escalation,freight_routes,case_black_sea_grain_export_disruption;case_2019_india_pakistan_airspace_closure,weak_cooccurrence,2,FDX;UPS,True,defense_spending_shock,ai_chips;cyber_infrastructure;defense;manufacturing_inputs;semiconductor_equipment,aerospace;cybersecurity;defense;electronics;manufacturing,0.0,0.0,0.0,0.1111111111111111,2,defense;manufacturing_inputs,0,,0.1111111111111111,0.0,2,defense;manufacturing,0.0,0.0,False,,0.06896551724137931,war-related agricultural export disruption;border military escalation and airspace disruption,agriculture;aviation;defense;fertilizer;freight_routes;grain_exports;logistics;manufacturing_inputs;maritime_chokepoint;trade_lanes,False,True,False,False,True,False
eval_defense_supply_chain_escalation,eval_defense_supply_chain_escalation,maritime_chokepoint,case_black_sea_grain_export_disruption;case_israel_iran_escalation_energy_risk,weak_cooccurrence,2,BOAT;MATX,True,defense_spending_shock,ai_chips;cyber_infrastructure;defense;manufacturing_inputs;semiconductor_equipment,aerospace;cybersecurity;defense;electronics;manufacturing,0.0,0.0,0.0,0.0,1,defense,0,,0.0,0.0,0,,0.0,0.0,False,,0.16666666666666666,war-related agricultural export disruption;regional military escalation and energy chokepoint risk,agriculture;defense;energy;fertilizer;freight_routes;grain_exports;lng_shipping;logistics;marine_insurance;maritime_chokepoint;oil_shipping;refining,False,False,True,False,False,False
eval_dutch_asml_export_controls,eval_dutch_asml_export_controls,critical_minerals,case_2010_china_japan_rare_earth_embargo;case_2021_xinjiang_forced_labor_import_restrictions;case_china_gallium_germanium_graphite_controls,mixed,2,PICK;REMX,False,technology_export_controls,ai_chips;customs;data_centers;eda_software;foundry;semiconductor_equipment,chip equipment;electronics;semiconductors,0.0,0.4,0.17037037037037037,0.06111111111111111,3,ai_chips;customs;semiconductor_equipment,2,ai_chips;semiconductor_equipment,0.34523809523809523,0.0,2,electronics;semiconductors,0.1574074074074074,0.0,False,,0.13590421923755258,rare earth export restriction and electronics input disruption;forced-labor import restriction and customs compliance risk;critical minerals export controls,ai_chips;critical_minerals;customs;defense;gallium_germanium_graphite;logistics;manufacturing_inputs;rare_earths;semiconductor_equipment;trade_lanes,True,True,True,True,True,False
